#Game ID,#Game Date,#Game Time,#Away Team ID,#Away Team Abbr.,#Away Team City,#Away Team Name,#Home Team ID,#Home Team Abbr.,#Home Team City,#Home Team Name,#Venue ID,#Venue Name,#Team ID,#Team Abbr.,#Team City,#Team Name,#PassAttempts,#PassCompletions,#PassPct,#PassAttemptsPerGame,#PassGrossYards,#PassAvg,#PassNetYards,#PassYardsPerAtt,#PassYardsPerGame,#PassTD,#PassTDPct,#PassInt,#PassIntPct,#PassLng,#Pass20Plus,#Pass40Plus,#PassSacks,#PassSackY,#QBRating,#RushAttempts,#RushAttemptsPerGame,#RushYards,#RushAverage,#RushYardsPerGame,#RushTD,#RushLng,#Rush1stDowns,#Rush1stDownsPct,#Rush20Plus,#Rush40Plus,#RushFumbles,#Receptions,#RecYards,#RecAverage,#RecYardsPerGame,#RecTD,#RecLng,#Rec1stDowns,#Rec20Plus,#Rec40Plus,#RecFumbles,#TackleSolo,#TackleTotal,#TackleAst,#Sacks,#SackYds,#TacklesForLoss,#Interceptions,#IntTD,#IntYds,#IntAverage,#IntLng,#PassesDefended,#Stuffs,#StuffYds,#KB,#Safeties,#Fumbles,#FumLost,#FumForced,#FumOwnRec,#FumOppRec,#FumRecYds,#FumTotalRec,#FumTD,#KrRet,#KrYds,#KrAvg,#KrLng,#KrTD,#Kr20Plus,#Kr40Plus,#KrFC,#KrFum,#PrRet,#PrYds,#PrAvg,#PrLng,#PrTD,#Pr20Plus,#Pr40Plus,#PrFC,#PrFum,#FgBlk,#FgMade,#FgAtt,#FgPct,#FgMade1_19,#FgAtt1_19,#Fg1_19Pct,#FgMade20_29,#FgAtt20_29,#Fg20_29Pct,#FgMade30_39,#FgAtt30_39,#Fg30_39Pct,#FgMade40_49,#FgAtt40_49,#Fg40_49Pct,#FgMade50Plus,#FgAtt50Plus,#Fg50PlusPct,#FgLng,#XpBlk,#XpMade,#XpAtt,#XpPct,#FgAndXpPts,#KoPct,#Kickoffs,#KoYds,#KoOOB,#KoAvg,#KoTB,#KoRet,#KoRetYds,#KoRetAvgYds,#KoTD,#KoOS,#KoOSR,#Punts,#PuntYds,#PuntNetYds,#PuntLng,#PuntAvg,#PuntNetAvg,#PuntBlk,#PuntOOB,#PuntDown,#PuntIn20,#PuntIn20Pct,#PuntTB,#PuntTBPct,#PuntFC,#PuntRet,#PuntRetYds,#PuntRetAvg,#TwoPtAtt,#TwoPtMade,#TwoPtPassAtt,#TwoPtPassMade,#TwoPtRushAtt,#TwoPtRushMade,#DefensiveXP,#DefensiveTD,#DefensiveTwoPt,#FirstDownsTotal,#FirstDownsPass,#FirstDownsRush,#FirstDownsPenalty,#ThirdDowns,#ThirdDownsAtt,#ThirdDownsPct,#FourthDowns,#FourthDownsAtt,#FourthDownsPct,#Penalties,#PenaltyYds,#OffensePlays,#OffenseYds,#OffenseAvgYds,#TotalTD,#Wins,#Losses,#Ties,#OTWins,#OTLosses,#WinPct,#PointsFor,#PointsAgainst,#PointDifferential,#OffenseSnaps,#DefenseSnaps,#SpecialTeamSnaps
65002,2021-10-28,00:20:00 GMT,62,GB,Green Bay,Packers,76,ARI,Arizona,Cardinals,1269,State Farm Stadium,62,GB,Green Bay,Packers,37,22,59.5,37.0,184,5.0,184,4.8,184.0,2,5.4,0,0.0,33,1,0,1,0,90.4,34,34.0,151,4.4,151.0,1,16,11,32.4,0,0,0,22,184,8.4,184.0,2,33,10,1,0,0,37,53,16,2,14,1,2,0,0,0.0,0,4,16,15,0,0,2,0,0,1,1,0,2,0,1,13,13.0,13,0,0,0,0,0,2,12,6.0,17,0,0,0,1,0,0,1,1,100.0,0,0,0.0,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0.0,21,0,3,3,100.0,6,0.0,5,311,0,62.2,2,3,64,21.3,0,0,0,3,154,140,58,51.3,46.7,0,0,0,2,66.7,0,0.0,0,2,14,7.0,0,0,0,0,0,0,0,0,0,24,10,11,3,6,14,42.9,2,4,50.0,7,60,72,335,4.6,3,1,0,0,0,0,1.0,24,21,3,73,59,22
65010,2021-10-31,17:00:00 GMT,77,LA,Los Angeles,Rams,64,HOU,Houston,Texans,1110,NRG Stadium,64,HOU,Houston,Texans,39,29,74.4,39.0,310,8.0,279,6.3,279.0,2,5.1,1,2.6,45,5,1,5,31,103.6,14,14.0,44,3.1,44.0,1,14,4,28.6,0,0,1,29,310,10.7,310.0,2,45,13,5,1,0,40,71,31,1,8,0,0,0,0,0.0,0,4,17,10,0,0,2,0,0,1,0,0,1,0,1,44,44.0,44,0,1,1,0,0,1,1,1.0,1,0,0,0,2,0,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,2,2,100.0,2,0.0,4,151,0,37.8,1,2,8,4.0,0,2,1,7,364,362,63,52.0,51.7,0,1,0,2,28.6,0,0.0,3,3,2,0.7,1,1,0,0,1,1,0,0,0,18,13,4,1,4,13,30.8,0,0,0.0,6,38,58,323,5.6,3,0,1,0,0,0,0.0,22,38,-16,61,67,33
65007,2021-10-31,17:00:00 GMT,67,TEN,Tennessee,Titans,65,IND,Indianapolis,Colts,1111,Lucas Oil Stadium,65,IND,Indianapolis,Colts,51,27,52.9,51.0,231,4.5,224,4.3,224.0,3,5.9,2,3.9,38,2,0,1,7,68.3,20,20.0,83,4.2,83.0,1,20,9,45.0,0,0,1,27,231,8.6,231.0,3,38,10,2,0,0,53,67,14,3,18,0,2,0,40,20.0,40,5,19,24,0,0,2,1,1,1,0,0,1,0,3,76,25.3,31,0,2,0,0,0,2,27,13.5,16,0,0,0,1,0,0,1,1,100.0,0,0,0.0,0,0,0.0,1,1,100.0,0,0,0.0,0,0,0.0,34,0,4,4,100.0,7,0.0,5,325,0,65.0,5,0,0,0.0,0,0,0,4,182,161,63,45.5,40.2,0,1,1,2,50.0,0,0.0,0,2,21,10.5,0,0,0,0,0,0,0,0,0,24,10,9,5,7,16,43.8,2,3,66.7,9,75,72,307,4.3,4,0,1,0,0,1,0.0,31,34,-3,80,73,31
65009,2021-10-31,20:05:00 GMT,66,JAX,Jacksonville,Jaguars,79,SEA,Seattle,Seahawks,1352,Lumen Field,66,JAX,Jacksonville,Jaguars,54,32,59.3,54.0,238,4.4,227,4.1,227.0,1,1.8,1,1.8,17,0,0,1,11,68.3,19,19.0,82,4.3,82.0,0,14,2,10.5,0,0,0,32,238,7.4,238.0,1,17,17,0,0,0,30,60,30,3,35,0,0,0,0,0.0,0,1,14,49,0,0,0,0,0,0,0,0,0,0,5,81,16.2,25,0,3,0,0,0,2,17,8.5,13,0,0,0,3,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1,1,100.0,1,0.0,2,72,0,36.0,0,2,65,32.5,0,1,0,4,195,175,54,48.8,43.8,0,0,0,0,0.0,1,25.0,2,1,20,20.0,0,0,0,0,0,0,0,0,0,20,17,2,1,5,14,35.7,1,4,25.0,12,93,74,309,4.2,1,0,1,0,0,0,0.0,7,31,-24,76,57,23
65016,2021-11-01,00:15:00 GMT,53,NYG,New York,Giants,73,KC,Kansas City,Chiefs,1365,GEHA Field at Arrowhead Stadium,73,KC,Kansas City,Chiefs,48,29,60.4,48.0,275,5.7,261,5.2,261.0,1,2.1,1,2.1,24,1,0,2,14,74.6,27,27.0,107,4.0,107.0,1,12,10,37.0,0,0,0,29,275,9.5,275.0,1,24,17,1,0,0,29,63,34,3,13,4,1,0,13,13.0,13,2,17,18,0,0,2,1,1,1,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,2,2,100.0,0,0,0.0,0,0,0.0,2,2,100.0,0,0,0.0,0,0,0.0,36,0,2,2,100.0,8,0.0,5,320,0,64.0,2,2,31,15.5,0,0,0,4,203,203,58,50.8,50.8,0,0,0,4,100.0,0,0.0,2,1,0,0.0,0,0,0,0,0,0,0,0,0,29,17,10,2,5,12,41.7,0,0,0.0,12,103,77,368,4.8,2,1,0,0,0,0,1.0,20,17,3,81,60,25
65008,2021-10-31,20:05:00 GMT,50,NE,New England,Patriots,75,LAC,Los Angeles,Chargers,1288,SoFi Stadium,75,LAC,Los Angeles,Chargers,35,18,51.4,35.0,223,6.4,206,5.4,206.0,2,5.7,2,5.7,41,2,1,3,17,66.7,20,20.0,163,8.2,163.0,1,75,5,25.0,1,1,0,18,223,12.4,223.0,2,41,12,2,1,0,49,70,21,1,7,0,0,0,0,0.0,0,1,23,12,0,0,0,0,1,0,1,0,1,0,3,71,23.7,29,0,2,0,0,0,1,7,7.0,12,0,0,0,1,0,0,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,100.0,0,0,0.0,48,0,3,3,100.0,6,0.0,5,275,0,55.0,3,2,26,13.0,0,1,0,5,240,160,52,48.0,32.0,0,1,0,0,0.0,0,0.0,0,4,80,20.0,0,0,0,0,0,0,0,0,0,17,12,5,0,4,12,33.3,1,1,100.0,5,40,58,369,6.4,3,0,1,0,0,0,0.0,24,27,-3,60,77,30
65010,2021-10-31,17:00:00 GMT,77,LA,Los Angeles,Rams,64,HOU,Houston,Texans,1110,NRG Stadium,77,LA,Los Angeles,Rams,34,22,64.7,34.0,310,9.1,302,8.6,302.0,3,8.8,0,0.0,68,4,2,1,8,123.4,31,31.0,165,5.3,165.0,2,19,9,29.0,0,0,0,22,310,14.1,310.0,3,68,16,4,2,0,38,62,24,5,31,1,1,0,19,19.0,19,4,21,38,0,0,0,0,1,0,0,0,0,0,1,8,8.0,8,0,0,0,0,0,3,2,0.7,2,0,0,0,3,0,0,1,1,100.0,0,0,0.0,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0.0,27,0,5,5,100.0,8,0.0,7,461,0,65.9,6,1,44,44.0,0,0,0,4,178,177,49,44.5,44.2,0,0,1,1,25.0,0,0.0,2,1,1,1.0,0,0,0,0,0,0,0,0,0,26,16,9,1,4,11,36.4,0,1,0.0,3,20,66,467,7.1,5,1,0,0,0,0,1.0,38,22,16,67,61,33
65015,2021-10-31,17:00:00 GMT,49,MIA,Miami,Dolphins,48,BUF,Buffalo,Bills,1390,Highmark Stadium,49,MIA,Miami,Dolphins,78,42,53.8,78.0,205,2.6,194,2.4,194.0,0,0.0,2,2.6,40,6,2,2,11,48.8,23,23.0,68,3.0,68.0,1,12,8,34.8,0,0,2,42,410,9.8,410.0,0,40,20,6,2,0,94,138,44,0,0,2,0,0,0,0.0,0,12,46,16,0,0,2,1,1,1,0,-3,1,0,2,25,12.5,18,0,0,0,0,0,3,12,4.0,8,0,0,0,0,0,1,1,2,50.0,0,0,0.0,0,0,0.0,0,2,0.0,0,0,0.0,2,2,100.0,51,0,0,0,0.0,3,0.0,3,380,0,126.7,1,4,74,18.5,0,0,0,5,518,468,59,103.6,93.6,0,2,0,0,0.0,4,80.0,0,4,50,12.5,1,1,1,1,0,0,0,0,0,16,10,4,2,8,28,28.6,2,2,100.0,9,58,64,262,4.1,1,0,1,0,0,0,0.0,11,26,-15,69,73,24
65003,2021-10-31,00:20:00 GMT,52,DAL,Dallas,Cowboys,63,MIN,Minnesota,Vikings,1246,US Bank Stadium,63,MIN,Minnesota,Vikings,36,23,63.9,36.0,184,5.1,177,4.8,177.0,1,2.8,0,0.0,32,3,0,1,7,85.9,24,24.0,101,4.2,101.0,0,19,4,16.7,0,0,0,23,184,8.0,184.0,1,32,6,3,0,0,45,71,26,3,24,3,1,0,12,12.0,12,6,20,27,0,0,1,0,2,1,1,0,2,0,0,0,0.0,0,0,0,0,0,0,1,7,7.0,7,0,0,0,2,0,0,3,3,100.0,0,0,0.0,1,1,100.0,0,0,0.0,2,2,100.0,0,0,0.0,45,0,1,1,100.0,10,0.0,5,327,0,65.4,4,1,22,22.0,0,0,0,6,237,233,51,39.5,38.8,0,1,2,4,66.7,0,0.0,1,2,4,2.0,0,0,0,0,0,0,0,0,0,17,6,4,7,1,13,7.7,1,2,50.0,7,57,61,278,4.6,1,0,1,0,0,0,0.0,16,20,-4,66,73,30
65008,2021-10-31,20:05:00 GMT,50,NE,New England,Patriots,75,LAC,Los Angeles,Chargers,1288,SoFi Stadium,50,NE,New England,Patriots,35,18,51.4,35.0,218,6.2,211,5.9,211.0,0,0.0,0,0.0,44,2,1,1,7,70.9,39,39.0,141,3.6,141.0,1,14,10,25.6,1,0,0,18,218,12.1,218.0,0,44,10,2,1,0,32,53,21,3,17,3,2,1,38,19.0,26,9,22,18,0,0,1,1,0,0,0,0,0,0,1,26,26.0,26,0,1,0,0,0,4,80,20.0,27,0,3,0,0,0,0,4,4,100.0,0,0,0.0,1,1,100.0,1,1,100.0,2,2,100.0,0,0,0.0,48,0,1,1,100.0,13,0.0,7,458,0,65.4,4,3,71,23.7,0,0,0,3,146,134,62,48.7,44.7,0,1,0,2,66.7,0,0.0,1,1,12,12.0,1,1,1,1,0,0,0,1,1,21,10,9,2,9,19,47.4,0,1,0.0,4,30,75,352,4.7,1,1,0,0,0,0,1.0,27,24,3,77,60,30
