#Game ID,#Game Date,#Game Time,#Away Team ID,#Away Team Abbr.,#Away Team City,#Away Team Name,#Home Team ID,#Home Team Abbr.,#Home Team City,#Home Team Name,#Venue ID,#Venue Name,#Team ID,#Team Abbr.,#Team City,#Team Name,#PassAttempts,#PassCompletions,#PassPct,#PassAttemptsPerGame,#PassGrossYards,#PassAvg,#PassNetYards,#PassYardsPerAtt,#PassYardsPerGame,#PassTD,#PassTDPct,#PassInt,#PassIntPct,#PassLng,#Pass20Plus,#Pass40Plus,#PassSacks,#PassSackY,#QBRating,#RushAttempts,#RushAttemptsPerGame,#RushYards,#RushAverage,#RushYardsPerGame,#RushTD,#RushLng,#Rush1stDowns,#Rush1stDownsPct,#Rush20Plus,#Rush40Plus,#RushFumbles,#Receptions,#RecYards,#RecAverage,#RecYardsPerGame,#RecTD,#RecLng,#Rec1stDowns,#Rec20Plus,#Rec40Plus,#RecFumbles,#TackleSolo,#TackleTotal,#TackleAst,#Sacks,#SackYds,#TacklesForLoss,#Interceptions,#IntTD,#IntYds,#IntAverage,#IntLng,#PassesDefended,#Stuffs,#StuffYds,#KB,#Safeties,#Fumbles,#FumLost,#FumForced,#FumOwnRec,#FumOppRec,#FumRecYds,#FumTotalRec,#FumTD,#KrRet,#KrYds,#KrAvg,#KrLng,#KrTD,#Kr20Plus,#Kr40Plus,#KrFC,#KrFum,#PrRet,#PrYds,#PrAvg,#PrLng,#PrTD,#Pr20Plus,#Pr40Plus,#PrFC,#PrFum,#FgBlk,#FgMade,#FgAtt,#FgPct,#FgMade1_19,#FgAtt1_19,#Fg1_19Pct,#FgMade20_29,#FgAtt20_29,#Fg20_29Pct,#FgMade30_39,#FgAtt30_39,#Fg30_39Pct,#FgMade40_49,#FgAtt40_49,#Fg40_49Pct,#FgMade50Plus,#FgAtt50Plus,#Fg50PlusPct,#FgLng,#XpBlk,#XpMade,#XpAtt,#XpPct,#FgAndXpPts,#KoPct,#Kickoffs,#KoYds,#KoOOB,#KoAvg,#KoTB,#KoRet,#KoRetYds,#KoRetAvgYds,#KoTD,#KoOS,#KoOSR,#Punts,#PuntYds,#PuntNetYds,#PuntLng,#PuntAvg,#PuntNetAvg,#PuntBlk,#PuntOOB,#PuntDown,#PuntIn20,#PuntIn20Pct,#PuntTB,#PuntTBPct,#PuntFC,#PuntRet,#PuntRetYds,#PuntRetAvg,#TwoPtAtt,#TwoPtMade,#TwoPtPassAtt,#TwoPtPassMade,#TwoPtRushAtt,#TwoPtRushMade,#FirstDownsTotal,#FirstDownsPass,#FirstDownsRush,#FirstDownsPenalty,#ThirdDowns,#ThirdDownsAtt,#ThirdDownsPct,#FourthDowns,#FourthDownsAtt,#FourthDownsPct,#Penalties,#PenaltyYds,#OffensePlays,#OffenseYds,#OffenseAvgYds,#TotalTD,#Wins,#Losses,#Ties,#OTWins,#OTLosses,#WinPct,#PointsFor,#PointsAgainst,#PointDifferential,#OffenseSnaps,#DefenseSnaps,#SpecialTeamSnaps
46011,2018-10-07,17:00:00 GMT,62,GB,Green Bay,Packers,61,DET,Detroit,Lions,1106,Ford Field,62,GB,Green Bay,Packers,52,32,61.5,52.0,442,8.5,418,7.5,418.0,3,5.8,0,0.0,30,5,0,4,24,108.0,20,20.0,98,4.9,98.0,0,18,6,30.0,0,0,0,32,442,13.8,442.0,3,30,20,5,0,0,41,47,6,3,13,8,0,0,0,0.0,0,3,22,17,0,0,3,3,0,0,0,0,0,0,2,72,36.0,64,0,1,1,0,0,2,7,3.5,7,0,0,0,2,0,0,1,5,20.0,0,0,0.0,0,0,0.0,0,1,0.0,1,3,33.3,0,1,0.0,41,0,0,1,0.0,3,0.0,4,261,0,65.2,3,1,30,30.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,2,1,2,1,0,0,26,20,6,0,3,11,27.3,2,2,100.0,11,107,74,427,5.8,3,0,1,0,0,0,0.0,23,31,-8,0,0,0
46020,2018-10-07,00:20:00 GMT,52,DAL,Dallas,Cowboys,64,HOU,Houston,Texans,1110,NRG Stadium,64,HOU,Houston,Texans,44,33,75.0,44.0,391,8.9,390,8.7,390.0,1,2.3,1,2.3,49,3,1,1,1,99.7,30,30.0,88,2.9,88.0,0,17,4,13.3,0,0,0,33,391,11.8,391.0,1,49,18,3,1,0,45,60,15,2,14,7,2,0,17,8.5,11,6,22,23,0,0,1,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,29,14.5,16,0,0,0,2,0,0,4,5,80.0,1,1,100.0,2,2,100.0,1,1,100.0,0,1,0.0,0,0,0.0,36,0,1,1,100.0,13,0.0,6,390,0,65.0,6,0,0,0.0,0,0,0,3,160,138,61,53.3,46.0,0,0,0,1,33.3,1,33.3,0,2,22,11.0,0,0,0,0,0,0,25,18,4,3,5,15,33.3,0,1,0.0,4,25,75,478,6.4,1,1,0,0,1,0,1.0,19,16,3,0,0,0
46007,2018-10-04,00:20:00 GMT,65,IND,Indianapolis,Colts,50,NE,New England,Patriots,1129,Gillette Stadium,65,IND,Indianapolis,Colts,59,38,64.4,59.0,365,6.2,355,5.9,355.0,3,5.1,2,3.4,28,4,0,1,10,84.4,21,21.0,84,4.0,84.0,0,16,5,23.8,0,0,0,38,365,9.6,365.0,3,28,20,4,0,0,29,83,54,0,0,4,2,0,23,11.5,16,2,15,3,0,0,1,1,0,0,0,0,0,0,1,15,15.0,15,0,0,0,0,0,2,38,19.0,33,0,1,0,1,0,0,1,2,50.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,1,1,100.0,54,0,3,3,100.0,6,0.0,4,254,0,63.5,3,1,26,26.0,0,0,0,3,142,117,51,47.3,39.0,0,0,1,1,33.3,0,0.0,0,2,25,12.5,0,0,0,0,0,0,26,20,5,1,7,15,46.7,2,3,66.7,4,35,81,439,5.4,3,0,1,0,0,0,0.0,24,38,-14,0,0,0
46012,2018-10-07,17:00:00 GMT,66,JAX,Jacksonville,Jaguars,73,KC,Kansas City,Chiefs,1116,Arrowhead Stadium,66,JAX,Jacksonville,Jaguars,61,33,54.1,61.0,430,7.0,403,6.1,403.0,1,1.6,4,6.6,38,7,0,5,27,54.7,17,17.0,101,5.9,101.0,1,21,6,35.3,1,0,0,33,430,13.0,430.0,1,38,20,7,0,0,42,60,18,1,15,3,2,0,17,8.5,9,4,25,18,0,0,1,1,0,0,0,0,0,0,2,30,15.0,22,0,1,0,0,0,1,6,6.0,6,0,0,0,1,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,2,2,100.0,2,0.0,2,105,0,52.5,1,1,11,11.0,0,0,0,3,108,106,43,36.0,35.3,0,2,0,1,33.3,0,0.0,0,1,2,2.0,0,0,0,0,0,0,29,20,6,3,7,16,43.8,3,5,60.0,5,45,83,504,6.1,2,0,1,0,0,0,0.0,14,30,-16,0,0,0
46012,2018-10-07,17:00:00 GMT,66,JAX,Jacksonville,Jaguars,73,KC,Kansas City,Chiefs,1116,Arrowhead Stadium,73,KC,Kansas City,Chiefs,38,22,57.9,38.0,313,8.2,298,7.6,298.0,0,0.0,2,5.3,40,4,1,1,15,62.7,30,30.0,126,4.2,126.0,2,24,6,20.0,2,0,0,22,313,14.2,313.0,0,40,17,4,1,0,48,60,12,5,27,5,4,1,49,12.2,49,12,33,60,0,0,0,0,1,0,1,0,1,0,1,11,11.0,11,0,0,0,0,0,1,2,2.0,2,0,0,0,0,0,0,3,3,100.0,0,0,0.0,1,1,100.0,1,1,100.0,1,1,100.0,0,0,0.0,42,0,3,3,100.0,12,0.0,7,436,0,62.3,5,2,30,15.0,0,0,0,2,116,110,63,58.0,55.0,0,0,0,1,50.0,0,0.0,1,1,6,6.0,0,0,0,0,0,0,26,17,6,3,4,12,33.3,0,0,0.0,11,105,69,424,6.1,2,1,0,0,0,0,1.0,30,14,16,0,0,0
46016,2018-10-07,20:05:00 GMT,74,OAK,Oakland,Raiders,75,LAC,Los Angeles,Chargers,1245,StubHub Center,74,OAK,Oakland,Raiders,33,24,72.7,33.0,268,8.1,248,6.9,248.0,1,3.0,1,3.0,47,6,1,3,20,94.0,13,13.0,41,3.2,41.0,0,8,3,23.1,0,0,0,24,268,11.2,268.0,1,47,10,6,1,0,47,63,16,1,6,8,0,0,0,0.0,0,3,18,19,0,0,1,1,0,0,0,0,0,0,2,44,22.0,22,0,2,0,0,0,1,2,2.0,2,0,0,0,2,0,0,1,2,50.0,0,0,0.0,1,1,100.0,0,0,0.0,0,0,0.0,0,1,0.0,24,0,1,1,100.0,4,0.0,2,125,0,62.5,0,2,51,25.5,0,0,0,4,197,162,51,49.2,40.5,0,0,0,0,0.0,0,0.0,0,4,35,8.8,0,0,0,0,0,0,14,10,3,1,4,11,36.4,1,1,100.0,7,55,49,289,5.9,1,0,1,0,0,0,0.0,10,26,-16,0,0,0
46016,2018-10-07,20:05:00 GMT,74,OAK,Oakland,Raiders,75,LAC,Los Angeles,Chargers,1245,StubHub Center,75,LAC,Los Angeles,Chargers,27,22,81.5,27.0,339,12.6,333,11.9,333.0,2,7.4,0,0.0,48,4,2,1,6,143.4,31,31.0,79,2.6,79.0,1,16,4,12.9,0,0,0,22,339,15.4,339.0,2,48,13,4,2,0,33,51,18,3,20,7,1,0,8,8.0,8,4,17,28,0,0,0,0,1,0,1,0,1,0,2,51,25.5,35,0,1,0,0,0,4,35,8.8,18,0,0,0,0,0,0,2,3,66.7,0,0,0.0,0,0,0.0,1,1,100.0,1,2,50.0,0,0,0.0,49,0,2,3,66.7,8,0.0,6,381,0,63.5,4,2,44,22.0,0,0,0,3,129,127,59,43.0,42.3,0,0,0,3,100.0,0,0.0,2,1,2,2.0,0,0,0,0,0,0,19,13,4,2,7,13,53.8,0,0,0.0,9,82,59,412,7.0,3,1,0,0,0,0,1.0,26,10,16,0,0,0
46018,2018-10-07,20:25:00 GMT,77,LA,Los Angeles,Rams,79,SEA,Seattle,Seahawks,1147,CenturyLink Field,77,LA,Los Angeles,Rams,32,23,71.9,32.0,321,10.0,313,9.5,313.0,1,3.1,2,6.2,48,5,0,1,8,88.2,30,30.0,155,5.2,155.0,3,56,9,30.0,0,1,1,23,321,14.0,321.0,1,48,19,5,0,0,31,69,38,2,15,6,0,0,0,0.0,0,5,15,18,0,0,3,1,0,2,0,0,2,0,6,128,21.3,40,0,2,1,0,0,1,11,11.0,11,0,0,0,1,0,0,2,2,100.0,1,1,100.0,0,0,0.0,1,1,100.0,0,0,0.0,0,0,0.0,39,0,3,4,75.0,9,0.0,7,431,0,61.6,3,4,95,23.8,0,0,0,1,38,41,38,38.0,41.0,0,0,0,1,100.0,0,0.0,0,1,-3,-3.0,0,0,0,0,0,0,37,19,9,9,3,10,30.0,1,1,100.0,6,40,64,459,7.2,4,1,0,0,0,0,1.0,33,31,2,0,0,0
46013,2018-10-07,17:00:00 GMT,49,MIA,Miami,Dolphins,57,CIN,Cincinnati,Bengals,1099,Paul Brown Stadium,49,MIA,Miami,Dolphins,35,20,57.1,35.0,185,5.3,150,4.0,150.0,1,2.9,2,5.7,36,1,0,3,35,57.4,22,22.0,128,5.8,128.0,0,25,5,22.7,1,0,0,20,185,9.2,185.0,1,36,10,1,0,0,40,58,18,2,19,8,1,0,15,15.0,15,3,20,37,1,0,1,1,0,0,0,0,0,0,3,91,30.3,34,0,3,0,0,0,3,85,28.3,71,1,1,1,0,0,0,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,100.0,0,0,0.0,42,0,2,2,100.0,5,0.0,4,260,0,65.0,4,0,0,0.0,0,0,0,5,209,190,58,41.8,38.0,0,0,0,4,80.0,0,0.0,3,2,19,9.5,0,0,0,0,0,0,17,10,5,2,4,13,30.8,1,1,100.0,9,85,60,316,5.3,1,0,1,0,0,0,0.0,11,27,-16,0,0,0
46019,2018-10-07,20:25:00 GMT,63,MIN,Minnesota,Vikings,54,PHI,Philadelphia,Eagles,1138,Lincoln Financial Field,63,MIN,Minnesota,Vikings,37,30,81.1,37.0,301,8.1,298,7.8,298.0,1,2.7,0,0.0,68,4,1,1,3,109.6,20,20.0,48,2.4,48.0,0,12,4,20.0,0,0,2,30,301,10.0,301.0,1,68,13,4,1,0,43,48,5,3,95,6,0,0,0,0.0,0,2,16,36,0,0,2,1,1,1,2,-12,3,1,0,0,0.0,0,0,0,0,0,0,2,22,11.0,13,0,0,0,1,0,0,3,5,60.0,0,0,0.0,1,2,50.0,1,1,100.0,0,1,0.0,1,1,100.0,79,0,2,2,100.0,11,0.0,6,378,0,63.0,2,4,86,21.5,0,0,0,2,78,78,43,39.0,39.0,0,1,1,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,18,13,4,1,4,11,36.4,0,0,0.0,4,23,58,346,6.0,2,1,0,0,0,0,1.0,23,21,2,0,0,0
