#Game ID,#Game Date,#Game Time,#Away Team ID,#Away Team Abbr.,#Away Team City,#Away Team Name,#Home Team ID,#Home Team Abbr.,#Home Team City,#Home Team Name,#Venue ID,#Venue Name,#Team ID,#Team Abbr.,#Team City,#Team Name,#PassAttempts,#PassCompletions,#PassPct,#PassAttemptsPerGame,#PassGrossYards,#PassAvg,#PassNetYards,#PassYardsPerAtt,#PassYardsPerGame,#PassTD,#PassTDPct,#PassInt,#PassIntPct,#PassLng,#Pass20Plus,#Pass40Plus,#PassSacks,#PassSackY,#QBRating,#RushAttempts,#RushAttemptsPerGame,#RushYards,#RushAverage,#RushYardsPerGame,#RushTD,#RushLng,#Rush1stDowns,#Rush1stDownsPct,#Rush20Plus,#Rush40Plus,#RushFumbles,#Receptions,#RecYards,#RecAverage,#RecYardsPerGame,#RecTD,#RecLng,#Rec1stDowns,#Rec20Plus,#Rec40Plus,#RecFumbles,#TackleSolo,#TackleTotal,#TackleAst,#Sacks,#SackYds,#TacklesForLoss,#Interceptions,#IntTD,#IntYds,#IntAverage,#IntLng,#PassesDefended,#Stuffs,#StuffYds,#KB,#Safeties,#Fumbles,#FumLost,#FumForced,#FumOwnRec,#FumOppRec,#FumRecYds,#FumTotalRec,#FumTD,#KrRet,#KrYds,#KrAvg,#KrLng,#KrTD,#Kr20Plus,#Kr40Plus,#KrFC,#KrFum,#PrRet,#PrYds,#PrAvg,#PrLng,#PrTD,#Pr20Plus,#Pr40Plus,#PrFC,#PrFum,#FgBlk,#FgMade,#FgAtt,#FgPct,#FgMade1_19,#FgAtt1_19,#Fg1_19Pct,#FgMade20_29,#FgAtt20_29,#Fg20_29Pct,#FgMade30_39,#FgAtt30_39,#Fg30_39Pct,#FgMade40_49,#FgAtt40_49,#Fg40_49Pct,#FgMade50Plus,#FgAtt50Plus,#Fg50PlusPct,#FgLng,#XpBlk,#XpMade,#XpAtt,#XpPct,#FgAndXpPts,#KoPct,#Kickoffs,#KoYds,#KoOOB,#KoAvg,#KoTB,#KoRet,#KoRetYds,#KoRetAvgYds,#KoTD,#KoOS,#KoOSR,#Punts,#PuntYds,#PuntNetYds,#PuntLng,#PuntAvg,#PuntNetAvg,#PuntBlk,#PuntOOB,#PuntDown,#PuntIn20,#PuntIn20Pct,#PuntTB,#PuntTBPct,#PuntFC,#PuntRet,#PuntRetYds,#PuntRetAvg,#TwoPtAtt,#TwoPtMade,#TwoPtPassAtt,#TwoPtPassMade,#TwoPtRushAtt,#TwoPtRushMade,#DefensiveTD,#DefensiveTwoPt,#FirstDownsTotal,#DefensiveXP,#FirstDownsPass,#FirstDownsRush,#FirstDownsPenalty,#ThirdDowns,#ThirdDownsAtt,#ThirdDownsPct,#FourthDowns,#FourthDownsAtt,#FourthDownsPct,#Penalties,#PenaltyYds,#OffensePlays,#OffenseYds,#OffenseAvgYds,#TotalTD,#Wins,#Losses,#Ties,#OTWins,#OTLosses,#WinPct,#PointsFor,#PointsAgainst,#PointDifferential,#OffenseSnaps,#DefenseSnaps,#SpecialTeamSnaps
65081,2021-12-05,18:00:00 GMT,65,IND,Indianapolis,Colts,64,HOU,Houston,Texans,1110,NRG Stadium,65,IND,Indianapolis,Colts,22,16,72.7,22.0,158,7.2,151,6.6,151.0,1,4.6,0,0.0,24,1,0,1,7,107.8,48,48.0,238,5.0,238.0,3,25,18,37.5,1,0,1,16,158,9.9,158.0,1,24,8,1,0,0,31,45,14,4,37,4,1,0,0,0.0,0,7,22,37,0,0,1,1,1,0,1,0,1,0,0,0,0.0,0,0,0,0,0,0,5,37,7.4,16,0,0,0,1,0,0,1,2,50.0,0,0,0.0,1,1,100.0,0,1,0.0,0,0,0.0,0,0,0.0,23,0,4,4,100.0,7,0.0,6,393,0,65.5,4,2,48,24.0,0,0,0,3,124,120,43,41.3,40.0,0,0,1,3,100.0,0,0.0,1,1,4,4.0,0,0,0,0,0,0,0,0,26,0,8,18,0,7,13,53.8,1,1,100.0,5,25,71,389,5.5,4,1,0,0,0,0,1.0,31,0,31,72,51,22
65077,2021-12-05,21:05:00 GMT,66,JAX,Jacksonville,Jaguars,77,LA,Los Angeles,Rams,1288,SoFi Stadium,66,JAX,Jacksonville,Jaguars,28,16,57.1,28.0,145,5.2,136,4.5,136.0,0,0.0,0,0.0,28,1,0,2,9,71.3,25,25.0,61,2.4,61.0,1,13,4,16.0,0,0,3,16,145,9.1,145.0,0,28,7,1,0,0,31,33,2,1,5,4,0,0,0,0.0,0,1,19,9,0,0,3,2,0,1,0,0,1,0,1,24,24.0,24,0,1,0,0,0,0,0,0.0,0,0,0,0,2,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1,1,100.0,1,0.0,2,128,0,64.0,0,2,81,40.5,0,0,0,5,247,247,68,49.4,49.4,0,0,1,5,100.0,0,0.0,4,0,0,0.0,0,0,0,0,0,0,0,0,14,0,7,3,4,5,12,41.7,1,2,50.0,3,39,55,197,3.6,1,0,1,0,0,0,0.0,7,37,-30,59,68,25
65085,2021-12-05,01:20:00 GMT,72,DEN,Denver,Broncos,73,KC,Kansas City,Chiefs,1365,GEHA Field at Arrowhead Stadium,73,KC,Kansas City,Chiefs,29,15,51.7,29.0,184,6.3,178,5.9,178.0,0,0.0,1,3.4,38,2,0,1,6,57.3,24,24.0,89,3.7,89.0,1,12,7,29.2,0,0,0,15,184,12.3,184.0,0,38,8,2,0,0,36,38,2,1,7,1,2,1,88,44.0,75,9,23,10,0,0,0,0,1,0,1,0,1,0,0,0,0.0,0,0,0,0,0,0,2,13,6.5,10,0,0,0,1,0,0,3,3,100.0,0,0,0.0,1,1,100.0,0,0,0.0,1,1,100.0,1,1,100.0,56,0,1,2,50.0,10,0.0,6,389,0,64.8,4,2,44,22.0,0,0,0,4,190,170,54,47.5,42.5,0,0,0,3,75.0,0,0.0,1,2,20,10.0,0,0,0,0,0,0,1,0,15,0,8,7,0,5,12,41.7,0,0,0.0,7,60,54,267,4.9,1,1,0,0,0,0,1.0,22,9,13,57,77,22
65084,2021-12-05,21:05:00 GMT,55,WAS,Washington,Football Team,74,LV,Las Vegas,Raiders,1287,Allegiant Stadium,74,LV,Las Vegas,Raiders,38,28,73.7,38.0,249,6.6,234,5.8,234.0,0,0.0,0,0.0,34,2,0,2,15,90.8,16,16.0,76,4.8,76.0,1,17,5,31.2,0,0,0,28,249,8.9,249.0,0,34,14,2,0,0,34,34,0,1,10,1,1,0,9,9.0,9,5,16,25,0,0,0,0,0,0,0,0,0,0,2,43,21.5,24,0,1,0,0,0,1,6,6.0,6,0,0,0,0,0,0,3,3,100.0,0,0,0.0,0,0,0.0,2,2,100.0,0,0,0.0,1,1,100.0,52,0,0,0,0.0,9,0.0,5,323,0,64.6,4,0,0,0.0,0,0,0,4,202,173,67,50.5,43.2,0,0,0,2,50.0,0,0.0,2,2,29,14.5,1,0,1,0,0,0,0,0,22,0,14,5,3,2,8,25.0,0,0,0.0,6,54,56,310,5.5,1,0,1,0,0,0,0.0,15,17,-2,59,67,23
65087,2021-12-05,18:00:00 GMT,75,LAC,Los Angeles,Chargers,57,CIN,Cincinnati,Bengals,1099,Paul Brown Stadium,75,LAC,Los Angeles,Chargers,35,26,74.3,35.0,317,9.1,284,7.3,284.0,3,8.6,1,2.9,47,5,3,4,33,118.4,22,22.0,79,3.6,79.0,1,15,5,22.7,0,0,0,26,317,12.2,317.0,3,47,13,5,3,0,39,41,2,6,42,2,2,0,0,0.0,0,7,27,50,0,0,2,2,2,0,2,61,2,1,3,99,33.0,48,0,3,1,0,0,2,18,9.0,15,0,0,0,2,0,0,2,2,100.0,0,0,0.0,0,0,0.0,0,0,0.0,2,2,100.0,0,0,0.0,43,0,3,4,75.0,9,0.0,8,516,0,64.5,5,3,52,17.3,0,0,0,4,169,164,49,42.2,41.0,0,0,0,0,0.0,1,25.0,2,1,5,5.0,1,1,1,1,0,0,1,0,18,1,13,5,0,4,13,30.8,1,1,100.0,7,51,61,363,6.0,5,1,0,0,0,0,1.0,41,22,19,64,76,29
65077,2021-12-05,21:05:00 GMT,66,JAX,Jacksonville,Jaguars,77,LA,Los Angeles,Rams,1288,SoFi Stadium,77,LA,Los Angeles,Rams,38,26,68.4,38.0,295,7.8,290,7.4,290.0,3,7.9,0,0.0,43,5,1,1,5,117.8,27,27.0,128,4.7,128.0,1,25,7,25.9,1,0,0,26,295,11.4,295.0,3,43,15,5,1,0,25,29,4,2,9,2,0,0,0,0.0,0,6,23,19,0,0,1,0,2,1,2,8,3,0,2,81,40.5,65,0,1,1,0,0,0,0,0.0,0,0,0,0,4,0,0,3,3,100.0,0,0,0.0,0,0,0.0,1,1,100.0,2,2,100.0,0,0,0.0,44,0,4,4,100.0,13,0.0,8,511,1,63.9,6,1,24,24.0,0,0,0,3,150,150,58,50.0,50.0,0,0,1,1,33.3,0,0.0,2,0,0,0.0,0,0,0,0,0,0,0,0,24,0,15,7,2,5,12,41.7,1,1,100.0,7,47,66,418,6.3,4,1,0,0,0,0,1.0,37,7,30,68,59,25
65078,2021-12-05,18:00:00 GMT,53,NYG,New York,Giants,49,MIA,Miami,Dolphins,1126,Hard Rock Stadium,49,MIA,Miami,Dolphins,41,30,73.2,41.0,244,6.0,229,5.3,229.0,2,4.9,0,0.0,25,1,0,2,15,104.1,25,25.0,68,2.7,68.0,0,11,1,4.0,0,0,0,30,244,8.1,244.0,2,25,17,1,0,0,38,59,21,3,28,0,1,0,0,0.0,0,8,32,39,0,0,0,0,0,0,0,0,0,0,2,32,16.0,17,0,0,0,0,0,1,7,7.0,7,0,0,0,1,0,0,2,3,66.7,0,0,0.0,0,0,0.0,0,0,0.0,2,2,100.0,0,1,0.0,48,0,2,2,100.0,8,0.0,5,325,0,65.0,5,0,0,0.0,0,0,0,6,290,268,65,48.3,44.7,0,0,0,3,50.0,0,0.0,3,3,22,7.3,0,0,0,0,0,0,0,0,19,0,17,1,1,6,15,40.0,0,0,0.0,3,15,68,297,4.4,2,1,0,0,0,0,1.0,20,9,11,69,65,29
65082,2021-12-05,18:00:00 GMT,63,MIN,Minnesota,Vikings,61,DET,Detroit,Lions,1106,Ford Field,63,MIN,Minnesota,Vikings,41,30,73.2,41.0,340,8.3,326,7.4,326.0,2,4.9,0,0.0,48,3,1,3,14,113.9,27,27.0,100,3.7,100.0,1,11,7,25.9,0,0,0,30,340,11.3,340.0,2,48,19,3,1,0,36,36,0,3,22,2,1,0,0,0.0,0,6,24,24,0,0,1,1,2,0,1,0,1,0,2,65,32.5,44,0,2,1,0,0,3,23,7.7,16,0,0,0,0,0,0,3,3,100.0,0,0,0.0,0,0,0.0,2,2,100.0,1,1,100.0,0,0,0.0,41,0,0,0,0.0,9,0.0,7,454,0,64.9,6,1,30,30.0,0,0,0,3,132,132,49,44.0,44.0,0,0,0,2,66.7,1,33.3,1,1,0,0.0,3,0,1,0,2,0,0,0,26,0,19,7,0,6,13,46.2,0,1,0.0,7,66,71,426,6.0,3,0,1,0,0,0,0.0,27,29,-2,76,72,27
65089,2021-12-06,01:15:00 GMT,50,NE,New England,Patriots,48,BUF,Buffalo,Bills,1390,Highmark Stadium,50,NE,New England,Patriots,3,2,66.7,3.0,19,6.3,19,6.3,19.0,0,0.0,0,0.0,12,0,0,0,0,84.0,46,46.0,222,4.8,222.0,1,64,10,21.7,1,1,1,2,19,9.5,19.0,0,12,1,0,0,0,28,28,0,2,14,8,0,0,0,0.0,0,6,20,17,0,0,2,1,0,1,1,-7,2,0,0,0,0.0,0,0,0,0,0,0,1,0,0.0,0,0,0,0,1,0,0,2,2,100.0,0,0,0.0,0,0,0.0,1,1,100.0,1,1,100.0,0,0,0.0,41,0,0,0,0.0,6,0.0,4,251,0,62.8,3,1,27,27.0,0,0,0,6,252,244,71,42.0,40.7,0,2,2,1,16.7,1,16.7,0,1,8,8.0,1,1,0,0,1,1,0,0,11,0,1,10,0,2,12,16.7,1,2,50.0,6,47,49,241,4.9,1,1,0,0,0,0,1.0,14,10,4,51,58,23
65076,2021-12-02,01:20:00 GMT,52,DAL,Dallas,Cowboys,70,NO,New Orleans,Saints,1398,Caesars Superdome,70,NO,New Orleans,Saints,41,19,46.3,41.0,264,6.4,252,5.9,252.0,2,4.9,4,9.8,70,5,1,2,12,44.2,26,26.0,153,5.9,153.0,0,24,8,30.8,2,0,0,19,264,13.9,264.0,2,70,10,5,1,0,38,38,0,1,7,2,1,0,15,15.0,15,10,21,12,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,4,37,9.2,19,0,0,0,2,0,0,1,2,50.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,100.0,0,1,0.0,42,0,2,2,100.0,5,0.0,4,205,0,51.2,2,2,22,11.0,0,1,0,6,308,264,62,51.3,44.0,0,1,1,2,33.3,0,0.0,0,4,44,11.0,0,0,0,0,0,0,0,0,17,0,10,7,0,5,14,35.7,1,1,100.0,7,59,69,405,5.9,2,0,1,0,0,0,0.0,17,27,-10,70,70,32
