#Date/Time of Update: 2023-11-23 18:57:04 GMT,#Game ID,#Game Date,#Game Time,#Away Team ID,#Away Team Abbr.,#Away Team City,#Away Team Name,#Home Team ID,#Home Team Abbr.,#Home Team City,#Home Team Name,#Venue ID,#Venue Name,#Team ID,#Team Abbr.,#Team City,#Team Name,#PassAttempts,#PassCompletions,#PassPct,#PassAttemptsPerGame,#PassGrossYards,#PassNetYards,#PassAvg,#PassYardsPerAtt,#PassYardsPerGame,#PassTD,#PassTDPct,#PassInt,#PassIntPct,#PassLng,#Pass20Plus,#Pass40Plus,#PassSacks,#PassSackY,#QBRating,#RushAttempts,#RushAttemptsPerGame,#RushYards,#RushAverage,#RushYardsPerGame,#RushTD,#RushLng,#Rush1stDowns,#Rush1stDownsPct,#Rush20Plus,#Rush40Plus,#RushFumbles,#Receptions,#RecYards,#RecAverage,#RecYardsPerGame,#RecTD,#RecLng,#Rec1stDowns,#Rec20Plus,#Rec40Plus,#RecFumbles,#TackleSolo,#TackleTotal,#TackleAst,#Sacks,#SackYds,#TacklesForLoss,#Interceptions,#IntTD,#IntYds,#IntAverage,#IntLng,#PassesDefended,#Stuffs,#StuffYds,#KB,#Safeties,#Fumbles,#FumLost,#FumForced,#FumOwnRec,#FumOppRec,#FumRecYds,#FumTotalRec,#FumTD,#KrRet,#KrYds,#KrAvg,#KrLng,#KrTD,#Kr20Plus,#Kr40Plus,#KrFC,#KrFum,#PrRet,#PrYds,#PrAvg,#PrLng,#PrTD,#Pr20Plus,#Pr40Plus,#PrFC,#PrFum,#FgBlk,#FgMade,#FgAtt,#FgPct,#FgMade1_19,#FgAtt1_19,#Fg1_19Pct,#FgMade20_29,#FgAtt20_29,#Fg20_29Pct,#FgMade30_39,#FgAtt30_39,#Fg30_39Pct,#FgMade40_49,#FgAtt40_49,#Fg40_49Pct,#FgMade50Plus,#FgAtt50Plus,#Fg50PlusPct,#FgLng,#XpBlk,#XpMade,#XpAtt,#XpPct,#FgAndXpPts,#KoPct,#Kickoffs,#KoYds,#KoOOB,#KoAvg,#KoTB,#KoRet,#KoRetYds,#KoRetAvgYds,#KoTD,#KoOS,#KoOSR,#Punts,#PuntYds,#PuntNetYds,#PuntLng,#PuntAvg,#PuntNetAvg,#PuntBlk,#PuntOOB,#PuntDown,#PuntIn20,#PuntIn20Pct,#PuntTB,#PuntTBPct,#PuntFC,#PuntRet,#PuntRetYds,#PuntRetAvg,#TwoPtAtt,#TwoPtMade,#TwoPtPassAtt,#TwoPtPassMade,#TwoPtRushAtt,#TwoPtRushMade,#DefensiveTwoPt,#FirstDownsTotal,#DefensiveXP,#DefensiveTD,#FirstDownsPass,#FirstDownsRush,#FirstDownsPenalty,#ThirdDowns,#ThirdDownsAtt,#ThirdDownsPct,#FourthDowns,#FourthDownsAtt,#FourthDownsPct,#Penalties,#PenaltyYds,#OffensePlays,#OffenseYds,#OffenseAvgYds,#TotalTD,#Wins,#Losses,#Ties,#OTWins,#OTLosses,#WinPct,#PointsFor,#PointsAgainst,#PointDifferential,#OffenseSnaps,#DefenseSnaps,#SpecialTeamSnaps
,65346,2021-11-28,21:25:00 GMT,77,LA,Los Angeles,Rams,62,GB,Green Bay,Packers,1108,Lambeau Field,62,GB,Green Bay,Packers,45,28,62.2,45.0,307,307,6.8,6.7,307.0,2,4.4,0,0.0,54,4,2,1,0,97.2,32,32.0,92,2.9,92.0,1,8,5,15.6,0,0,0,28,309,11.0,309.0,2,54,14,4,2,0,32,32,0,2,18,3,1,1,33,33.0,33,9,24,18,0,0,3,1,2,2,2,7,4,0,3,38,12.7,14,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,3,4,75.0,0,0,0.0,2,2,100.0,0,0,0.0,1,2,50.0,0,0,0.0,45,0,3,3,100.0,12,0.0,8,511,0,63.9,3,3,71,23.7,0,0,0,5,212,199,61,42.4,39.8,0,1,1,4,80.0,0,0.0,2,1,13,13.0,1,0,1,0,0,0,0,21,0,1,14,5,2,7,19,36.8,2,2,100.0,3,32,78,399,5.1,3,1,0,0,0,0,1.000,36,28,8,82,62,36
,65065,2021-11-28,18:00:00 GMT,51,NYJ,New York,Jets,64,HOU,Houston,Texans,1110,NRG Stadium,64,HOU,Houston,Texans,26,17,65.4,26.0,158,106,6.1,3.4,106.0,2,7.7,1,3.8,40,3,1,5,52,91.5,24,24.0,96,4.0,96.0,0,30,4,16.7,1,0,1,17,158,9.3,158.0,2,40,7,3,1,0,42,42,0,4,29,2,1,0,0,0.0,0,4,21,42,0,0,1,0,1,1,0,0,1,0,2,50,25.0,28,0,2,0,0,0,1,7,7.0,7,0,0,0,0,0,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,2,2,100.0,2,0.0,3,198,0,66.0,2,1,29,29.0,0,0,0,5,236,219,56,47.2,43.8,0,1,1,2,40.0,0,0.0,2,1,17,17.0,0,0,0,0,0,0,0,13,0,0,7,4,2,6,14,42.9,1,2,50.0,4,32,55,202,3.7,2,0,1,0,0,0,0.000,14,21,-7,57,67,25
,65064,2021-11-28,18:00:00 GMT,71,TB,Tampa Bay,Buccaneers,65,IND,Indianapolis,Colts,1111,Lucas Oil Stadium,65,IND,Indianapolis,Colts,44,27,61.4,44.0,306,285,7.0,6.1,285.0,3,6.8,2,4.6,62,3,1,3,21,86.0,20,20.0,107,5.4,107.0,1,16,8,40.0,0,0,0,27,306,11.3,306.0,3,62,15,3,1,0,53,71,18,2,9,1,1,0,0,0.0,0,6,16,14,0,0,3,3,1,0,1,0,1,0,1,72,72.0,72,0,1,1,0,0,3,22,7.3,13,0,0,0,0,0,0,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,100.0,0,0,0.0,45,0,4,4,100.0,7,0.0,6,388,0,64.7,3,3,66,22.0,0,0,0,3,134,131,47,44.7,43.7,0,0,1,2,66.7,0,0.0,0,2,3,1.5,0,0,0,0,0,0,0,24,0,0,15,8,1,5,11,45.4,2,2,100.0,6,66,67,392,5.8,4,0,1,0,0,0,0.000,31,38,-7,69,67,31
,65069,2021-11-28,18:00:00 GMT,68,ATL,Atlanta,Falcons,66,JAX,Jacksonville,Jaguars,1266,TIAA Bank Field,66,JAX,Jacksonville,Jaguars,42,23,54.8,42.0,228,216,5.4,5.0,216.0,1,2.4,1,2.4,26,5,0,1,12,68.4,28,28.0,141,5.0,141.0,0,12,7,25.0,0,0,1,23,228,9.9,228.0,1,26,13,5,0,0,37,37,0,1,7,1,1,0,0,0.0,0,5,17,11,0,0,3,1,0,2,0,0,2,0,3,74,24.7,29,0,2,0,0,0,2,29,14.5,18,0,0,0,2,0,0,2,2,100.0,0,0,0.0,1,1,100.0,1,1,100.0,0,0,0.0,0,0,0.0,34,0,0,0,0.0,6,0.0,4,245,0,61.2,0,4,91,22.8,0,0,0,3,130,127,44,43.3,42.3,0,1,0,2,66.7,0,0.0,1,1,3,3.0,1,1,1,1,0,0,0,20,0,0,13,7,0,9,16,56.2,0,2,0.0,6,43,71,357,5.0,1,0,1,0,0,0,0.000,14,21,-7,73,60,22
,65062,2021-11-25,21:30:00 GMT,74,LV,Las Vegas,Raiders,52,DAL,Dallas,Cowboys,1103,AT&T Stadium,74,LV,Las Vegas,Raiders,39,24,61.5,39.0,373,366,9.6,8.7,366.0,1,2.6,0,0.0,56,6,2,3,7,101.8,35,35.0,143,4.1,143.0,2,22,7,20.0,2,0,0,24,373,15.5,373.0,1,56,14,6,2,0,41,69,28,1,2,2,0,0,0,0.0,0,4,17,7,0,0,1,0,0,1,0,0,1,0,0,0,0.0,0,0,0,0,0,0,3,34,11.3,21,0,1,0,4,0,0,5,5,100.0,0,0,0.0,2,2,100.0,1,1,100.0,1,1,100.0,1,1,100.0,56,0,3,3,100.0,18,0.0,9,585,0,65.0,6,3,129,43.0,0,0,0,5,243,227,68,48.6,45.4,0,1,0,4,80.0,0,0.0,2,2,16,8.0,0,0,0,0,0,0,0,28,0,0,14,7,7,3,13,23.1,0,0,0.0,14,110,77,509,6.6,3,1,0,0,0,0,1.000,36,33,3,87,74,42
,65072,2021-11-28,21:05:00 GMT,75,LAC,Los Angeles,Chargers,72,DEN,Denver,Broncos,1289,Empower Field at Mile High,75,LAC,Los Angeles,Chargers,44,28,63.6,44.0,303,285,6.9,6.1,285.0,2,4.6,2,4.6,34,2,0,3,18,80.0,17,17.0,72,4.2,72.0,0,13,3,17.6,0,0,0,28,303,10.8,303.0,2,34,15,2,0,0,29,29,0,1,4,1,1,0,5,5.0,5,5,16,8,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,1,1,100.0,1,0.0,3,179,0,59.7,2,1,7,7.0,0,0,0,3,136,123,48,45.3,41.0,0,1,0,0,0.0,0,0.0,0,2,13,6.5,1,0,1,0,0,0,0,20,0,0,15,3,2,7,14,50.0,1,2,50.0,9,75,64,357,5.6,2,0,1,0,0,0,0.000,13,28,-15,71,62,20
,65346,2021-11-28,21:25:00 GMT,77,LA,Los Angeles,Rams,62,GB,Green Bay,Packers,1108,Lambeau Field,77,LA,Los Angeles,Rams,39,21,53.8,39.0,302,285,7.7,7.0,285.0,3,7.7,1,2.6,79,3,2,2,17,94.2,20,20.0,68,3.4,68.0,0,7,5,25.0,0,0,0,21,302,14.4,302.0,3,79,10,3,2,0,38,38,0,1,0,0,0,0,0,0.0,0,6,25,7,0,0,2,2,2,0,1,0,1,0,5,103,20.6,28,0,3,0,0,0,1,13,13.0,13,0,0,0,2,0,0,2,2,100.0,0,0,0.0,0,0,0.0,2,2,100.0,0,0,0.0,0,0,0.0,39,0,2,2,100.0,8,0.0,6,310,0,51.7,2,4,38,9.5,0,1,0,5,202,202,53,40.4,40.4,0,2,2,1,20.0,0,0.0,0,0,0,0.0,1,1,1,1,0,0,1,15,0,0,10,5,0,4,13,30.8,0,1,0.0,4,30,61,353,5.8,3,0,1,0,0,0,0.000,28,36,-8,62,82,36
,65067,2021-11-28,18:00:00 GMT,69,CAR,Carolina,Panthers,49,MIA,Miami,Dolphins,1126,Hard Rock Stadium,49,MIA,Miami,Dolphins,31,27,87.1,31.0,230,204,7.4,6.2,204.0,1,3.2,0,0.0,57,2,1,2,26,108.3,39,39.0,111,2.8,111.0,2,16,9,23.1,0,0,2,27,230,8.5,230.0,1,57,11,2,1,0,19,19,0,5,45,1,3,0,16,5.3,16,13,29,49,0,0,4,1,0,3,0,-13,3,0,0,0,0.0,0,0,0,0,0,0,3,26,8.7,7,0,0,0,1,0,0,2,2,100.0,0,0,0.0,0,0,0.0,1,1,100.0,1,1,100.0,0,0,0.0,46,0,3,4,75.0,9,0.0,7,455,0,65.0,7,0,0,0.0,0,0,0,4,162,162,46,40.5,40.5,0,1,0,4,100.0,0,0.0,3,0,0,0.0,0,0,0,0,0,0,0,22,1,1,11,9,2,6,15,40.0,2,2,100.0,5,35,72,315,4.4,3,1,0,0,0,0,1.000,33,10,23,74,55,28
,65073,2021-11-28,21:25:00 GMT,63,MIN,Minnesota,Vikings,78,SF,San Francisco,49ers,1144,Levi's Stadium,63,MIN,Minnesota,Vikings,33,21,63.6,33.0,262,256,7.9,7.5,256.0,2,6.1,1,3.0,30,5,0,1,6,95.8,18,18.0,67,3.7,67.0,1,30,3,16.7,1,0,1,21,262,12.5,262.0,2,30,13,5,0,0,41,75,34,2,15,1,1,0,10,10.0,10,5,17,26,0,0,2,1,0,1,0,0,1,0,5,189,37.8,99,1,4,1,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,2,3,66.7,2,0.0,5,325,0,65.0,5,0,0,0.0,0,0,0,3,160,146,59,53.3,48.7,0,0,0,1,33.3,0,0.0,1,2,14,7.0,1,0,1,0,0,0,0,17,0,1,13,3,1,2,8,25.0,1,3,33.3,5,38,52,323,6.2,3,0,1,0,0,0,0.000,26,34,-8,55,70,28
,65068,2021-11-28,18:00:00 GMT,67,TEN,Tennessee,Titans,50,NE,New England,Patriots,1129,Gillette Stadium,50,NE,New England,Patriots,32,23,71.9,32.0,310,289,9.7,8.5,289.0,2,6.2,0,0.0,41,6,1,2,21,123.2,24,24.0,105,4.4,105.0,1,19,6,25.0,0,0,0,23,310,13.5,310.0,2,41,15,6,1,0,42,73,31,2,10,2,1,0,0,0.0,0,8,14,18,0,0,0,0,5,0,3,0,3,0,3,84,28.0,37,0,3,0,0,0,2,23,11.5,15,0,0,0,0,0,0,5,6,83.3,0,0,0.0,2,2,100.0,1,1,100.0,1,1,100.0,1,2,50.0,52,0,3,3,100.0,18,0.0,9,580,0,64.4,5,4,88,22.0,0,0,0,1,48,48,48,48.0,48.0,0,0,0,1,100.0,0,0.0,1,0,0,0.0,0,0,0,0,0,0,0,23,0,0,15,6,2,4,10,40.0,0,0,0.0,4,35,58,394,6.8,3,1,0,0,0,0,1.000,36,13,23,60,63,28
