#Game ID,#Game Date,#Game Time,#Away Team ID,#Away Team Abbr.,#Away Team City,#Away Team Name,#Home Team ID,#Home Team Abbr.,#Home Team City,#Home Team Name,#Venue ID,#Venue Name,#Team ID,#Team Abbr.,#Team City,#Team Name,#PassAttempts,#PassCompletions,#PassPct,#PassAttemptsPerGame,#PassGrossYards,#PassNetYards,#PassAvg,#PassYardsPerAtt,#PassYardsPerGame,#PassTD,#PassTDPct,#PassInt,#PassIntPct,#PassLng,#Pass20Plus,#Pass40Plus,#PassSacks,#PassSackY,#QBRating,#RushAttempts,#RushAttemptsPerGame,#RushYards,#RushAverage,#RushYardsPerGame,#RushTD,#RushLng,#Rush1stDowns,#Rush1stDownsPct,#Rush20Plus,#Rush40Plus,#RushFumbles,#Receptions,#RecYards,#RecAverage,#RecYardsPerGame,#RecTD,#RecLng,#Rec1stDowns,#Rec20Plus,#Rec40Plus,#RecFumbles,#TackleSolo,#TackleTotal,#TackleAst,#Sacks,#SackYds,#TacklesForLoss,#Interceptions,#IntTD,#IntYds,#IntAverage,#IntLng,#PassesDefended,#Stuffs,#StuffYds,#KB,#Safeties,#Fumbles,#FumLost,#FumForced,#FumOwnRec,#FumOppRec,#FumRecYds,#FumTotalRec,#FumTD,#KrRet,#KrYds,#KrAvg,#KrLng,#KrTD,#Kr20Plus,#Kr40Plus,#KrFC,#KrFum,#PrRet,#PrYds,#PrAvg,#PrLng,#PrTD,#Pr20Plus,#Pr40Plus,#PrFC,#PrFum,#FgBlk,#FgMade,#FgAtt,#FgPct,#FgMade1_19,#FgAtt1_19,#Fg1_19Pct,#FgMade20_29,#FgAtt20_29,#Fg20_29Pct,#FgMade30_39,#FgAtt30_39,#Fg30_39Pct,#FgMade40_49,#FgAtt40_49,#Fg40_49Pct,#FgMade50Plus,#FgAtt50Plus,#Fg50PlusPct,#FgLng,#XpBlk,#XpMade,#XpAtt,#XpPct,#FgAndXpPts,#KoPct,#Kickoffs,#KoYds,#KoOOB,#KoAvg,#KoTB,#KoRet,#KoRetYds,#KoRetAvgYds,#KoTD,#KoOS,#KoOSR,#Punts,#PuntYds,#PuntNetYds,#PuntLng,#PuntAvg,#PuntNetAvg,#PuntBlk,#PuntOOB,#PuntDown,#PuntIn20,#PuntIn20Pct,#PuntTB,#PuntTBPct,#PuntFC,#PuntRet,#PuntRetYds,#PuntRetAvg,#TwoPtAtt,#TwoPtMade,#TwoPtPassAtt,#TwoPtPassMade,#TwoPtRushAtt,#TwoPtRushMade,#DefensiveTD,#FirstDownsTotal,#DefensiveTwoPt,#DefensiveXP,#FirstDownsPass,#FirstDownsRush,#FirstDownsPenalty,#ThirdDowns,#ThirdDownsAtt,#ThirdDownsPct,#FourthDowns,#FourthDownsAtt,#FourthDownsPct,#Penalties,#PenaltyYds,#OffensePlays,#OffenseYds,#OffenseAvgYds,#TotalTD,#Wins,#Losses,#Ties,#OTWins,#OTLosses,#WinPct,#PointsFor,#PointsAgainst,#PointDifferential,#OffenseSnaps,#DefenseSnaps,#SpecialTeamSnaps
113953,2023-10-15,20:25:00 GMT,61,DET,Detroit,Lions,71,TB,Tampa Bay,Buccaneers,1151,Raymond James Stadium,61,DET,Detroit,Lions,44,30,68.2,44.0,353,340,8.0,7.2,340.0,2,4.6,0,0.0,45,6,1,3,13,107.5,22,22.0,40,1.8,40.0,0,8,2,9.1,0,0,1,30,353,11.8,353.0,2,45,16,6,1,0,33,49,16,1,1,3,1,0,0,0.0,0,9,24,9,0,0,1,0,0,1,0,0,1,0,2,38,19.0,19,0,0,0,0,0,3,33,11.0,15,0,0,0,1,0,0,2,3,66.7,0,0,0.0,0,0,0.0,2,2,100.0,0,0,0.0,0,1,0.0,36,0,2,2,100.0,8,0.0,5,318,0,63.6,2,3,59,19.7,0,0,0,4,180,180,50,45.0,45.0,0,1,0,2,50.0,1,25.0,2,0,0,0.0,0,0,0,0,0,0,0,19,0,0,16,2,1,9,16,56.2,0,0,0.0,5,35,69,380,5.5,2,1,0,0,0,0,1.000,20,6,14,70,56,25
113950,2023-10-15,17:00:00 GMT,70,NO,New Orleans,Saints,64,HOU,Houston,Texans,1110,NRG Stadium,64,HOU,Houston,Texans,27,13,48.2,27.0,199,177,7.4,6.1,177.0,2,7.4,1,3.7,34,4,0,2,22,82.2,31,31.0,120,3.9,120.0,0,17,7,22.6,0,0,0,13,199,15.3,199.0,2,34,9,4,0,0,54,75,21,2,16,4,1,0,0,0.0,0,6,28,26,0,0,0,0,1,0,1,0,1,0,1,18,18.0,20,0,1,0,0,0,1,0,0.0,0,0,0,0,1,0,0,2,2,100.0,0,0,0.0,2,2,100.0,0,0,0.0,0,0,0.0,0,0,0.0,24,0,2,2,100.0,8,0.0,5,325,0,65.0,4,1,19,19.0,0,0,0,5,237,237,63,47.4,47.4,0,0,2,3,60.0,1,20.0,2,0,0,0.0,0,0,0,0,0,0,0,19,0,0,9,7,3,4,11,36.4,0,0,0.0,3,29,60,297,5.0,2,1,0,0,0,0,1.000,20,13,7,63,82,26
113951,2023-10-15,17:00:00 GMT,65,IND,Indianapolis,Colts,66,JAX,Jacksonville,Jaguars,1266,TIAA Bank Field,65,IND,Indianapolis,Colts,55,33,60.0,55.0,329,310,6.0,5.3,310.0,1,1.8,3,5.4,45,4,3,3,19,60.3,17,17.0,44,2.6,44.0,1,9,4,23.5,0,0,0,33,329,10.0,329.0,1,45,14,4,3,0,41,55,14,3,33,1,1,0,0,0.0,0,2,26,59,0,0,1,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,2,13,6.5,8,0,0,0,1,0,0,2,2,100.0,0,0,0.0,1,1,100.0,0,0,0.0,0,0,0.0,1,1,100.0,56,0,2,2,100.0,8,0.0,5,315,0,63.0,4,1,53,53.0,0,0,0,3,143,137,52,47.7,45.7,0,0,2,1,33.3,0,0.0,0,1,6,6.0,0,0,0,0,0,0,0,18,0,0,14,4,0,6,17,35.3,3,6,50.0,6,46,75,354,4.7,2,0,1,0,0,0,0.000,20,37,-17,78,64,31
113951,2023-10-15,17:00:00 GMT,65,IND,Indianapolis,Colts,66,JAX,Jacksonville,Jaguars,1266,TIAA Bank Field,66,JAX,Jacksonville,Jaguars,30,20,66.7,30.0,181,148,6.0,4.5,148.0,2,6.7,1,3.3,29,1,0,3,33,91.1,29,29.0,85,2.9,85.0,2,22,7,24.1,1,0,0,20,181,9.0,181.0,2,29,6,1,0,0,45,72,27,3,20,7,3,0,45,15.0,24,10,29,25,0,0,0,0,1,0,1,0,1,0,1,53,53.0,53,0,1,1,0,0,1,6,6.0,6,0,0,0,0,0,0,3,3,100.0,0,0,0.0,0,0,0.0,0,0,0.0,2,2,100.0,1,1,100.0,51,0,4,4,100.0,13,0.0,8,515,0,64.4,7,0,0,0.0,0,0,0,4,203,190,62,50.8,47.5,0,1,0,1,25.0,0,0.0,1,2,13,6.5,0,0,0,0,0,0,0,17,0,0,6,7,4,4,14,28.6,1,1,100.0,5,25,62,233,3.8,4,1,0,0,0,0,1.000,37,20,17,64,78,31
113944,2023-10-12,00:15:00 GMT,72,DEN,Denver,Broncos,73,KC,Kansas City,Chiefs,1365,GEHA Field at Arrowhead Stadium,73,KC,Kansas City,Chiefs,41,30,73.2,41.0,306,293,7.5,6.8,293.0,1,2.4,1,2.4,40,3,1,2,13,92.1,27,27.0,96,3.6,96.0,0,15,6,22.2,0,0,0,30,309,10.3,309.0,1,40,14,3,1,0,37,48,11,4,13,5,2,0,12,6.0,11,8,18,17,0,0,2,0,1,1,1,1,2,0,0,0,0.0,0,0,0,0,0,0,3,10,3.3,25,0,1,0,0,0,0,4,4,100.0,0,0,0.0,1,1,100.0,1,1,100.0,0,0,0.0,2,2,100.0,60,0,1,1,100.0,13,0.0,5,325,0,65.0,5,0,0,0.0,0,0,0,3,142,112,62,47.3,37.3,0,0,0,1,33.3,0,0.0,0,2,30,15.0,0,0,0,0,0,0,0,22,0,0,14,6,2,5,14,35.7,0,0,0.0,7,84,70,389,5.6,1,1,0,0,0,0,1.000,19,8,11,71,52,21
113954,2023-10-15,20:05:00 GMT,50,NE,New England,Patriots,74,LV,Las Vegas,Raiders,1287,Allegiant Stadium,74,LV,Las Vegas,Raiders,32,20,62.5,32.0,264,264,8.2,8.2,264.0,1,3.1,1,3.1,48,3,1,0,0,85.9,33,33.0,84,2.6,84.0,0,18,4,12.1,0,0,0,20,264,13.2,264.0,1,48,12,3,1,0,38,58,20,4,24,2,1,0,22,22.0,22,2,16,25,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,1,13,13.0,13,0,0,0,0,0,0,4,4,100.0,0,0,0.0,2,2,100.0,2,2,100.0,0,0,0.0,0,0,0.0,37,0,1,1,100.0,13,0.0,6,394,0,65.7,5,1,23,23.0,0,0,0,2,103,89,57,51.5,44.5,0,0,0,1,50.0,0,0.0,1,1,14,14.0,0,0,0,0,0,0,0,19,0,0,12,4,3,8,16,50.0,0,0,0.0,6,42,65,348,5.4,1,1,0,0,0,0,1.000,21,17,4,70,60,25
113958,2023-10-16,00:15:00 GMT,52,DAL,Dallas,Cowboys,75,LAC,Los Angeles,Chargers,1288,SoFi Stadium,75,LAC,Los Angeles,Chargers,37,22,59.5,37.0,227,219,6.1,5.8,219.0,2,5.4,1,2.7,28,4,0,1,8,84.0,23,23.0,53,2.3,53.0,0,9,2,8.7,0,0,0,22,227,10.3,227.0,2,28,12,4,0,0,50,62,12,5,26,1,0,0,0,0.0,0,3,21,33,0,0,0,0,0,0,1,0,1,0,0,0,0.0,0,0,0,0,0,0,2,38,19.0,26,0,1,0,1,0,0,1,1,100.0,0,0,0.0,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0.0,24,0,2,2,100.0,5,0.0,4,259,0,64.8,3,1,21,21.0,0,0,0,5,203,188,49,40.6,37.6,0,0,1,1,20.0,0,0.0,2,1,15,15.0,0,0,0,0,0,0,0,18,0,0,12,2,4,5,14,35.7,1,2,50.0,9,79,61,272,4.5,2,0,1,0,0,0,0.000,17,20,-3,73,64,25
113955,2023-10-15,20:25:00 GMT,76,ARI,Arizona,Cardinals,77,LA,Los Angeles,Rams,1288,SoFi Stadium,77,LA,Los Angeles,Rams,24,15,62.5,24.0,226,203,9.4,7.5,203.0,1,4.2,0,0.0,49,4,1,3,23,107.3,28,28.0,179,6.4,179.0,1,31,9,32.1,2,0,0,15,226,15.1,226.0,1,49,7,4,1,0,45,66,21,2,23,2,1,0,0,0.0,0,9,31,37,0,0,1,1,1,0,1,0,1,0,0,0,0.0,0,0,0,0,1,0,3,30,10.0,29,0,1,0,0,0,0,4,4,100.0,0,0,0.0,2,2,100.0,1,1,100.0,1,1,100.0,0,0,0.0,43,0,2,2,100.0,14,0.0,7,455,0,65.0,7,0,0,0.0,0,0,0,4,186,170,52,46.5,42.5,0,1,0,1,25.0,1,25.0,1,1,16,16.0,0,0,0,0,0,0,0,17,0,0,7,9,1,4,12,33.3,0,0,0.0,6,59,55,382,7.0,2,1,0,0,0,0,1.000,26,9,17,57,76,27
113952,2023-10-15,17:00:00 GMT,69,CAR,Carolina,Panthers,49,MIA,Miami,Dolphins,1126,Hard Rock Stadium,49,MIA,Miami,Dolphins,32,21,65.6,32.0,262,262,8.2,8.2,262.0,3,9.4,1,3.1,47,4,2,0,0,109.1,33,33.0,162,4.9,162.0,3,49,8,24.2,1,1,1,21,262,12.5,262.0,3,47,14,4,2,0,42,70,28,4,36,4,0,0,0,0.0,0,4,21,36,0,0,1,0,0,1,0,-10,1,0,0,0,0.0,0,0,0,0,0,0,1,0,0.0,20,0,1,0,3,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,6,6,100.0,6,0.0,7,466,0,66.6,6,1,31,31.0,0,0,0,4,194,173,60,48.5,43.2,0,0,1,1,25.0,0,0.0,1,2,21,10.5,0,0,0,0,0,0,0,23,0,0,14,8,1,7,13,53.8,0,0,0.0,3,25,65,424,6.5,6,1,0,0,0,0,1.000,42,21,21,67,69,30
113947,2023-10-15,17:00:00 GMT,63,MIN,Minnesota,Vikings,60,CHI,Chicago,Bears,1098,Soldier Field,63,MIN,Minnesota,Vikings,31,21,67.7,31.0,181,174,5.8,5.3,174.0,1,3.2,0,0.0,21,2,0,2,7,93.6,22,22.0,46,2.1,46.0,0,8,3,13.6,0,0,0,21,181,8.6,181.0,1,21,8,2,0,0,52,76,24,5,27,5,2,0,46,23.0,39,7,22,39,0,0,3,1,2,1,1,42,2,1,0,0,0.0,0,0,0,0,0,0,3,32,10.7,15,0,0,0,0,0,0,2,3,66.7,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2,3,66.7,53,1,1,2,50.0,7,0.0,5,334,0,66.8,2,3,124,41.3,0,0,0,5,249,237,63,49.8,47.4,0,1,0,0,0.0,1,20.0,2,1,12,12.0,0,0,0,0,0,0,1,12,0,1,8,3,1,2,13,15.4,1,2,50.0,5,63,55,220,4.0,2,1,0,0,0,0,1.000,19,13,6,57,66,26
