#Date/Time of Update: 2023-11-23 18:26:13 GMT,#Game ID,#Game Date,#Game Time,#Away Team ID,#Away Team Abbr.,#Away Team City,#Away Team Name,#Home Team ID,#Home Team Abbr.,#Home Team City,#Home Team Name,#Venue ID,#Venue Name,#Team ID,#Team Abbr.,#Team City,#Team Name,#PassAttempts,#PassCompletions,#PassPct,#PassAttemptsPerGame,#PassGrossYards,#PassAvg,#PassNetYards,#PassYardsPerAtt,#PassYardsPerGame,#PassTD,#PassTDPct,#PassInt,#PassIntPct,#PassLng,#Pass20Plus,#Pass40Plus,#PassSacks,#PassSackY,#QBRating,#RushAttempts,#RushAttemptsPerGame,#RushYards,#RushAverage,#RushYardsPerGame,#RushTD,#RushLng,#Rush1stDowns,#Rush1stDownsPct,#Rush20Plus,#Rush40Plus,#RushFumbles,#Receptions,#RecYards,#RecAverage,#RecYardsPerGame,#RecTD,#RecLng,#Rec1stDowns,#Rec20Plus,#Rec40Plus,#RecFumbles,#TackleSolo,#TackleTotal,#TackleAst,#Sacks,#SackYds,#TacklesForLoss,#Interceptions,#IntTD,#IntYds,#IntAverage,#IntLng,#PassesDefended,#Stuffs,#StuffYds,#KB,#Safeties,#Fumbles,#FumLost,#FumForced,#FumOwnRec,#FumOppRec,#FumRecYds,#FumTotalRec,#FumTD,#KrRet,#KrYds,#KrAvg,#KrLng,#KrTD,#Kr20Plus,#Kr40Plus,#KrFC,#KrFum,#PrRet,#PrYds,#PrAvg,#PrLng,#PrTD,#Pr20Plus,#Pr40Plus,#PrFC,#PrFum,#FgBlk,#FgMade,#FgAtt,#FgPct,#FgMade1_19,#FgAtt1_19,#Fg1_19Pct,#FgMade20_29,#FgAtt20_29,#Fg20_29Pct,#FgMade30_39,#FgAtt30_39,#Fg30_39Pct,#FgMade40_49,#FgAtt40_49,#Fg40_49Pct,#FgMade50Plus,#FgAtt50Plus,#Fg50PlusPct,#FgLng,#XpBlk,#XpMade,#XpAtt,#XpPct,#FgAndXpPts,#KoPct,#Kickoffs,#KoYds,#KoOOB,#KoAvg,#KoTB,#KoRet,#KoRetYds,#KoRetAvgYds,#KoTD,#KoOS,#KoOSR,#Punts,#PuntYds,#PuntNetYds,#PuntLng,#PuntAvg,#PuntNetAvg,#PuntBlk,#PuntOOB,#PuntDown,#PuntIn20,#PuntIn20Pct,#PuntTB,#PuntTBPct,#PuntFC,#PuntRet,#PuntRetYds,#PuntRetAvg,#TwoPtAtt,#TwoPtMade,#TwoPtPassAtt,#TwoPtPassMade,#TwoPtRushAtt,#TwoPtRushMade,#FirstDownsTotal,#FirstDownsPass,#FirstDownsRush,#FirstDownsPenalty,#ThirdDowns,#ThirdDownsAtt,#ThirdDownsPct,#FourthDowns,#FourthDownsAtt,#FourthDownsPct,#Penalties,#PenaltyYds,#OffensePlays,#OffenseYds,#OffenseAvgYds,#TotalTD,#Wins,#Losses,#Ties,#OTWins,#OTLosses,#WinPct,#PointsFor,#PointsAgainst,#PointDifferential
,40466,2017-10-22,17:00:00 GMT,70,NO,New Orleans,Saints,62,GB,Green Bay,Packers,1108,Lambeau Field,62,GB,Green Bay,Packers,25,12,48.0,25.0,87,3.5,79,3.0,79.0,0,0.0,1,4.0,42,0,0,1,8,39.9,24,24.0,181,7.5,181.0,2,46,8,33.3,2,1,0,12,87,7.2,87.0,0,42,4,0,0,0,57,77,20,1,7,5,2,0,0,0.0,0,3,18,18,1,0,2,0,0,2,0,0,2,0,2,72,36.0,45,0,2,1,0,0,0,0,0.0,0,0,0,0,1,0,0,1,2,50.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,100.0,0,1,0.0,46,0,2,2,100.0,5,0.0,4,262,0,65.5,2,2,57,28.5,0,0,0,5,245,245,60,49.0,49.0,0,0,2,2,40.0,0,0.0,2,0,0,0.0,0,0,0,0,0,0,16,4,8,4,4,11,36.4,0,0,0.0,7,54,50,260,5.2,2,0,1,0,0,0,0.000,17,26,-9
,40467,2017-10-22,17:00:00 GMT,66,JAX,Jacksonville,Jaguars,65,IND,Indianapolis,Colts,1111,Lucas Oil Stadium,65,IND,Indianapolis,Colts,37,22,59.5,37.0,200,5.4,136,2.9,136.0,0,0.0,0,0.0,34,2,0,10,64,74.2,20,20.0,96,4.8,96.0,0,14,5,25.0,0,0,0,22,200,9.1,200.0,0,34,10,2,0,0,40,62,22,1,38,3,0,0,0,0.0,0,1,18,17,0,0,2,0,2,2,2,0,4,0,3,75,25.0,36,0,2,0,0,0,1,0,0.0,0,0,0,0,1,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0,1,65,0,65.0,1,0,0,0.0,0,0,0,7,314,314,58,44.9,44.9,0,0,1,4,57.1,0,0.0,6,0,0,0.0,0,0,0,0,0,0,15,10,5,0,5,15,33.3,0,3,0.0,5,55,67,232,3.5,0,0,1,0,0,0,0.000,0,27,-27
,40467,2017-10-22,17:00:00 GMT,66,JAX,Jacksonville,Jaguars,65,IND,Indianapolis,Colts,1111,Lucas Oil Stadium,66,JAX,Jacksonville,Jaguars,27,18,66.7,27.0,330,12.2,292,10.4,292.0,1,3.7,0,0.0,52,6,3,1,38,120.9,37,37.0,188,5.1,188.0,2,58,6,16.2,1,1,1,18,330,18.3,330.0,1,52,14,6,3,0,48,68,20,10,64,15,0,0,0,0.0,0,7,29,68,0,0,2,2,2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,6,0,0,2,2,100.0,0,0,0.0,0,0,0.0,1,1,100.0,1,1,100.0,0,0,0.0,42,0,3,3,100.0,9,0.0,6,388,0,64.7,3,3,75,25.0,0,0,0,2,107,107,61,53.5,53.5,0,0,0,1,50.0,0,0.0,1,1,0,0.0,0,0,0,0,0,0,23,14,6,3,8,14,57.1,0,1,0.0,4,34,65,544,8.4,3,1,0,0,0,0,1.000,27,0,27
,40458,2017-10-19,00:25:00 GMT,73,KC,Kansas City,Chiefs,74,OAK,Oakland,Raiders,1137,Oakland-Alameda County Coliseum,73,KC,Kansas City,Chiefs,36,25,69.4,36.0,342,9.5,331,9.0,331.0,3,8.3,0,0.0,64,4,2,1,11,127.3,23,23.0,96,4.2,96.0,0,34,3,13.0,1,0,1,25,342,13.7,342.0,3,64,15,4,2,0,44,59,15,0,0,6,0,0,0,0.0,0,8,29,7,1,0,1,0,1,1,1,-4,2,0,2,37,18.5,20,0,1,0,0,0,2,13,6.5,13,0,0,0,0,0,0,3,3,100.0,0,0,0.0,0,0,0.0,2,2,100.0,0,0,0.0,1,1,100.0,53,0,3,3,100.0,12,0.0,7,459,0,65.6,6,1,19,19.0,0,0,0,2,108,108,56,54.0,54.0,0,0,0,2,100.0,0,0.0,1,1,0,0.0,0,0,0,0,0,0,19,15,3,1,8,15,53.3,0,0,0.0,8,108,60,427,7.1,3,0,1,0,0,0,0.000,30,31,-1
,40458,2017-10-19,00:25:00 GMT,73,KC,Kansas City,Chiefs,74,OAK,Oakland,Raiders,1137,Oakland-Alameda County Coliseum,74,OAK,Oakland,Raiders,52,29,55.8,52.0,417,8.0,417,8.0,417.0,3,5.8,0,0.0,45,6,1,0,0,101.2,21,21.0,88,4.2,88.0,1,15,3,14.3,0,0,0,29,417,14.4,417.0,3,45,23,6,1,0,43,70,27,1,11,4,0,0,0,0.0,0,1,17,13,0,0,2,1,0,0,0,0,0,0,1,19,19.0,19,0,0,0,0,0,1,0,0.0,0,0,0,0,1,0,1,1,3,33.3,0,0,0.0,1,1,100.0,0,0,0.0,0,1,0.0,0,1,0.0,26,0,4,4,100.0,7,0.0,5,326,0,65.2,3,2,37,18.5,0,0,0,3,146,133,51,48.7,44.3,0,0,1,1,33.3,0,0.0,0,2,13,6.5,0,0,0,0,0,0,30,23,3,4,6,13,46.2,1,1,100.0,8,84,73,505,6.9,4,1,0,0,0,0,1.000,31,30,1
,40470,2017-10-22,20:25:00 GMT,72,DEN,Denver,Broncos,75,LAC,Los Angeles,Chargers,1245,StubHub Center,75,LAC,Los Angeles,Chargers,26,15,57.7,26.0,183,7.0,94,3.2,94.0,2,7.7,0,0.0,42,2,1,3,89,105.1,25,25.0,76,3.0,76.0,0,21,2,8.0,1,0,0,15,183,12.2,183.0,2,42,8,2,1,0,56,74,18,5,113,8,1,0,-2,-2.0,-2,5,19,121,0,0,0,0,3,0,2,0,2,0,0,0,0.0,0,0,0,0,0,0,3,88,29.3,65,1,2,1,5,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,3,3,100.0,3,0.0,4,271,0,67.8,1,3,93,31.0,0,0,0,7,378,323,69,54.0,46.1,0,0,1,3,42.9,0,0.0,1,5,55,11.0,0,0,0,0,0,0,18,8,2,8,3,12,25.0,0,1,0.0,8,71,54,170,3.2,2,1,0,0,0,0,1.000,15,0,15
,40463,2017-10-22,17:00:00 GMT,76,ARI,Arizona,Cardinals,77,LA,Los Angeles,Rams,1196,Twickenham Stadium,77,LA,Los Angeles,Rams,37,22,59.5,37.0,235,6.4,228,6.0,228.0,1,2.7,1,2.7,35,1,0,1,7,75.8,40,40.0,197,4.9,197.0,2,18,11,27.5,0,0,0,22,235,10.7,235.0,1,35,14,1,0,0,32,38,6,3,13,6,2,0,39,19.5,29,7,23,20,0,0,0,0,1,0,0,0,0,0,1,18,18.0,18,0,0,0,0,0,3,39,13.0,20,0,1,0,0,0,0,4,4,100.0,0,0,0.0,1,1,100.0,2,2,100.0,0,0,0.0,1,1,100.0,53,0,3,3,100.0,15,0.0,7,455,0,65.0,5,2,46,23.0,0,0,0,1,65,56,65,65.0,56.0,0,0,0,1,100.0,0,0.0,0,1,9,9.0,0,0,0,0,0,0,27,14,11,2,13,19,68.4,0,0,0.0,6,45,77,424,5.5,3,1,0,0,0,0,1.000,33,0,33
,40462,2017-10-22,17:00:00 GMT,51,NYJ,New York,Jets,49,MIA,Miami,Dolphins,1126,Hard Rock Stadium,49,MIA,Miami,Dolphins,37,25,67.6,37.0,326,8.8,304,7.6,304.0,4,10.8,2,5.4,36,7,0,3,22,108.6,25,25.0,53,2.1,53.0,0,11,3,12.0,0,0,0,25,326,13.0,326.0,4,36,17,7,0,0,39,50,11,3,29,7,1,0,6,6.0,6,4,20,42,0,0,1,0,0,0,1,0,1,0,2,56,28.0,30,0,2,0,0,0,4,33,8.2,16,0,0,0,2,0,0,1,1,100.0,0,0,0.0,0,0,0.0,1,1,100.0,0,0,0.0,0,0,0.0,39,0,4,4,100.0,7,0.0,6,384,0,64.0,4,2,30,15.0,0,0,0,6,271,251,58,45.2,41.8,0,0,1,3,50.0,0,0.0,1,3,20,6.7,0,0,0,0,0,0,25,17,3,5,5,13,38.5,0,0,0.0,9,76,64,363,5.7,4,1,0,0,0,0,1.000,31,28,3
,40461,2017-10-22,17:00:00 GMT,56,BAL,Baltimore,Ravens,63,MIN,Minnesota,Vikings,1246,US Bank Stadium,63,MIN,Minnesota,Vikings,31,20,64.5,31.0,188,6.1,188,6.1,188.0,0,0.0,1,3.2,30,1,0,0,0,67.7,33,33.0,169,5.1,169.0,1,35,5,15.2,2,0,0,20,188,9.4,188.0,0,30,11,1,0,0,45,65,20,5,42,12,0,0,0,0.0,0,2,28,55,0,0,0,0,1,0,0,0,0,0,1,20,20.0,20,0,1,0,0,0,3,83,27.7,46,0,1,1,0,0,0,6,6,100.0,0,0,0.0,0,0,0.0,2,2,100.0,2,2,100.0,2,2,100.0,52,0,0,1,0.0,18,0.0,8,510,0,63.8,3,5,113,22.6,0,0,0,1,47,47,47,47.0,47.0,0,0,0,0,0.0,0,0.0,1,0,0,0.0,0,0,0,0,0,0,17,11,5,1,7,15,46.7,0,0,0.0,4,47,64,357,5.6,1,1,0,0,0,0,1.000,24,16,8
,40471,2017-10-22,00:30:00 GMT,68,ATL,Atlanta,Falcons,50,NE,New England,Patriots,1129,Gillette Stadium,50,NE,New England,Patriots,29,21,72.4,29.0,249,8.6,241,7.8,241.0,2,6.9,0,0.0,30,4,0,2,8,121.2,37,37.0,167,4.5,167.0,0,25,9,24.3,1,0,0,21,249,11.9,249.0,2,30,13,4,0,0,48,63,15,1,10,4,0,0,0,0.0,0,4,16,19,1,0,1,0,0,1,1,0,2,0,1,14,14.0,14,0,0,0,0,0,1,-1,-1.0,-1,0,0,0,1,0,0,3,3,100.0,0,0,0.0,2,2,100.0,1,1,100.0,0,0,0.0,0,0,0.0,38,0,2,2,100.0,11,0.0,6,371,0,61.8,1,5,82,16.4,0,0,0,2,100,100,57,50.0,50.0,0,0,0,0,0.0,1,50.0,1,0,0,0.0,0,0,0,0,0,0,25,13,9,3,7,13,53.8,0,0,0.0,8,65,68,408,6.0,2,1,0,0,0,0,1.000,23,7,16
