#Game ID,#Game Date,#Game Time,#Away Team ID,#Away Team Abbr.,#Away Team City,#Away Team Name,#Home Team ID,#Home Team Abbr.,#Home Team City,#Home Team Name,#Venue ID,#Venue Name,#Team ID,#Team Abbr.,#Team City,#Team Name,#PassAttempts,#PassCompletions,#PassPct,#PassAttemptsPerGame,#PassGrossYards,#PassNetYards,#PassAvg,#PassYardsPerAtt,#PassYardsPerGame,#PassTD,#PassTDPct,#PassInt,#PassIntPct,#PassLng,#Pass20Plus,#Pass40Plus,#PassSacks,#PassSackY,#QBRating,#RushAttempts,#RushAttemptsPerGame,#RushYards,#RushAverage,#RushYardsPerGame,#RushTD,#RushLng,#Rush1stDowns,#Rush1stDownsPct,#Rush20Plus,#Rush40Plus,#RushFumbles,#Receptions,#RecYards,#RecAverage,#RecYardsPerGame,#RecTD,#RecLng,#Rec1stDowns,#Rec20Plus,#Rec40Plus,#RecFumbles,#TackleSolo,#TackleTotal,#TackleAst,#Sacks,#SackYds,#TacklesForLoss,#Interceptions,#IntTD,#IntYds,#IntAverage,#IntLng,#PassesDefended,#Stuffs,#StuffYds,#KB,#Safeties,#Fumbles,#FumLost,#FumForced,#FumOwnRec,#FumOppRec,#FumRecYds,#FumTotalRec,#FumTD,#KrRet,#KrYds,#KrAvg,#KrLng,#KrTD,#Kr20Plus,#Kr40Plus,#KrFC,#KrFum,#PrRet,#PrYds,#PrAvg,#PrLng,#PrTD,#Pr20Plus,#Pr40Plus,#PrFC,#PrFum,#FgBlk,#FgMade,#FgAtt,#FgPct,#FgMade1_19,#FgAtt1_19,#Fg1_19Pct,#FgMade20_29,#FgAtt20_29,#Fg20_29Pct,#FgMade30_39,#FgAtt30_39,#Fg30_39Pct,#FgMade40_49,#FgAtt40_49,#Fg40_49Pct,#FgMade50Plus,#FgAtt50Plus,#Fg50PlusPct,#FgLng,#XpBlk,#XpMade,#XpAtt,#XpPct,#FgAndXpPts,#KoPct,#Kickoffs,#KoYds,#KoOOB,#KoAvg,#KoTB,#KoRet,#KoRetYds,#KoRetAvgYds,#KoTD,#KoOS,#KoOSR,#Punts,#PuntYds,#PuntNetYds,#PuntLng,#PuntAvg,#PuntNetAvg,#PuntBlk,#PuntOOB,#PuntDown,#PuntIn20,#PuntIn20Pct,#PuntTB,#PuntTBPct,#PuntFC,#PuntRet,#PuntRetYds,#PuntRetAvg,#TwoPtAtt,#TwoPtMade,#TwoPtPassAtt,#TwoPtPassMade,#TwoPtRushAtt,#TwoPtRushMade,#FirstDownsTotal,#FirstDownsPass,#FirstDownsRush,#FirstDownsPenalty,#ThirdDowns,#ThirdDownsAtt,#ThirdDownsPct,#FourthDowns,#FourthDownsAtt,#FourthDownsPct,#Penalties,#PenaltyYds,#OffensePlays,#OffenseYds,#OffenseAvgYds,#TotalTD,#Wins,#Losses,#Ties,#OTWins,#OTLosses,#WinPct,#PointsFor,#PointsAgainst,#PointDifferential,#OffenseSnaps,#DefenseSnaps,#SpecialTeamSnaps
46174,2018-12-23,18:00:00 GMT,63,MIN,Minnesota,Vikings,61,DET,Detroit,Lions,1106,Ford Field,61,DET,Detroit,Lions,43,23,53.5,43.0,161,137,3.7,3.0,137.0,0,0.0,0,0.0,21,1,0,3,24,62.3,23,23.0,86,3.7,86.0,0,29,3,13.0,1,0,0,23,161,7.0,161.0,0,21,10,1,0,0,41,56,15,2,13,6,0,0,0,0.0,0,0,16,22,0,0,1,0,0,1,0,0,1,0,2,49,24.5,25,0,2,0,0,0,4,29,7.2,11,0,0,0,0,0,0,3,3,100.0,0,0,0.0,0,0,0.0,1,1,100.0,2,2,100.0,0,0,0.0,48,0,0,0,0.0,9,0.0,4,259,0,64.8,2,2,52,26.0,0,0,0,5,203,195,52,40.6,39.0,0,0,2,3,60.0,0,0.0,2,1,8,8.0,0,0,0,0,0,0,17,10,3,4,4,16,25.0,1,3,33.3,5,35,69,223,3.2,0,0,1,0,0,0,0.0,9,27,-18,0,0,0
46171,2018-12-23,18:00:00 GMT,62,GB,Green Bay,Packers,51,NYJ,New York,Jets,1132,MetLife Stadium,62,GB,Green Bay,Packers,50,32,64.0,50.0,348,319,7.0,5.9,319.0,2,4.0,0,0.0,49,4,2,4,29,97.8,20,20.0,127,6.4,127.0,3,23,9,45.0,1,0,0,32,348,10.9,348.0,2,49,16,4,2,0,38,59,21,2,18,5,0,0,0,0.0,0,4,18,23,0,0,1,1,0,0,0,0,0,0,3,82,27.3,37,0,2,0,0,0,0,0,0.0,0,0,0,0,1,0,0,3,3,100.0,0,0,0.0,1,1,100.0,1,1,100.0,1,1,100.0,0,0,0.0,42,0,3,3,100.0,12,0.0,8,488,0,61.0,2,6,236,39.3,0,0,0,3,102,62,41,34.0,20.7,0,0,0,0,0.0,0,0.0,1,1,40,40.0,2,1,1,0,1,1,30,16,9,5,4,11,36.4,2,2,100.0,10,86,74,446,6.0,5,1,0,0,1,0,1.0,44,38,6,0,0,0
46172,2018-12-23,18:00:00 GMT,64,HOU,Houston,Texans,54,PHI,Philadelphia,Eagles,1138,Lincoln Financial Field,64,HOU,Houston,Texans,40,29,72.5,40.0,339,309,8.5,7.0,309.0,2,5.0,0,0.0,35,4,0,4,30,114.5,19,19.0,62,3.3,62.0,2,11,3,15.8,0,0,1,29,339,11.7,339.0,2,35,17,4,0,0,50,67,17,1,9,2,1,0,0,0.0,0,6,24,16,0,0,2,1,3,1,2,-4,3,0,5,122,24.4,30,0,3,0,0,0,1,8,8.0,8,0,0,0,0,0,0,1,1,100.0,0,0,0.0,0,0,0.0,1,1,100.0,0,0,0.0,0,0,0.0,30,0,3,4,75.0,6,0.0,6,380,0,63.3,2,4,96,24.0,0,0,0,4,161,150,51,40.2,37.5,0,1,1,2,50.0,0,0.0,1,1,11,11.0,0,0,0,0,0,0,25,17,4,4,3,10,30.0,0,1,0.0,10,61,63,371,5.9,4,0,1,0,0,0,0.0,30,32,-2,0,0,0
46175,2018-12-23,18:00:00 GMT,53,NYG,New York,Giants,65,IND,Indianapolis,Colts,1111,Lucas Oil Stadium,65,IND,Indianapolis,Colts,46,31,67.4,46.0,357,353,7.8,7.5,353.0,2,4.4,0,0.0,55,5,1,1,4,105.1,16,16.0,49,3.1,49.0,2,14,5,31.2,0,0,0,31,357,11.5,357.0,2,55,19,5,1,0,52,72,20,0,0,2,1,0,7,7.0,7,2,16,14,0,0,0,0,0,0,0,0,0,0,1,24,24.0,24,0,1,0,0,0,2,3,1.5,5,0,0,0,1,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,4,4,100.0,4,0.0,5,326,0,65.2,4,1,16,16.0,0,0,0,4,186,186,63,46.5,46.5,0,0,3,3,75.0,0,0.0,0,1,0,0.0,0,0,0,0,0,0,27,19,5,3,7,11,63.6,0,0,0.0,6,29,64,402,6.3,4,1,0,0,0,0,1.0,28,27,1,0,0,0
46173,2018-12-23,18:00:00 GMT,66,JAX,Jacksonville,Jaguars,49,MIA,Miami,Dolphins,1126,Hard Rock Stadium,66,JAX,Jacksonville,Jaguars,24,17,70.8,24.0,145,118,6.0,3.9,118.0,0,0.0,0,0.0,22,1,0,6,27,86.3,32,32.0,126,3.9,126.0,1,19,8,25.0,0,0,0,17,152,8.9,152.0,0,22,8,1,0,0,40,43,3,3,25,3,1,1,33,33.0,0,2,14,33,0,0,2,1,1,1,1,0,2,0,0,0,0.0,0,0,0,0,0,0,4,46,11.5,44,0,1,1,1,0,0,1,2,50.0,0,0,0.0,1,1,100.0,0,0,0.0,0,0,0.0,0,1,0.0,26,0,2,2,100.0,5,0.0,4,267,0,66.8,1,3,56,18.7,0,0,0,5,188,176,45,37.6,35.2,0,0,0,4,80.0,0,0.0,3,2,12,6.0,0,0,0,0,0,0,19,8,8,3,6,13,46.2,0,0,0.0,10,97,62,244,3.9,1,1,0,0,0,0,1.0,17,7,10,0,0,0
46182,2018-12-23,01:20:00 GMT,73,KC,Kansas City,Chiefs,79,SEA,Seattle,Seahawks,1147,CenturyLink Field,73,KC,Kansas City,Chiefs,40,23,57.5,40.0,273,265,6.8,6.5,265.0,3,7.5,0,0.0,48,4,0,1,8,103.4,19,19.0,155,8.2,155.0,0,25,6,31.6,3,0,1,23,273,11.9,273.0,3,32,16,4,1,0,46,79,33,3,17,10,0,0,0,0.0,0,2,25,29,0,0,3,2,1,1,0,-3,1,0,4,116,29.0,61,0,2,1,0,0,0,0,0.0,0,0,0,0,0,0,0,3,3,100.0,0,0,0.0,1,1,100.0,1,1,100.0,0,0,0.0,1,1,100.0,54,0,2,2,100.0,11,0.0,6,392,0,65.3,5,1,32,32.0,0,0,0,3,144,131,57,48.0,43.7,0,0,1,1,33.3,0,0.0,0,2,13,6.5,1,1,0,0,1,1,22,16,6,0,5,12,41.7,1,1,100.0,8,76,60,420,7.0,3,0,1,0,0,0,0.0,31,38,-7,0,0,0
46183,2018-12-24,01:15:00 GMT,72,DEN,Denver,Broncos,74,OAK,Oakland,Raiders,1137,Oakland-Alameda County Coliseum,74,OAK,Oakland,Raiders,26,19,73.1,26.0,167,159,6.4,5.9,159.0,0,0.0,0,0.0,16,0,0,1,8,89.7,30,30.0,114,3.8,114.0,2,24,6,20.0,1,0,1,19,167,8.8,167.0,0,16,8,0,0,0,43,69,26,1,2,1,2,0,23,11.5,21,3,17,6,0,0,1,0,1,1,0,-6,1,0,2,46,23.0,26,0,2,0,0,0,2,106,53.0,99,1,1,1,1,0,0,2,2,100.0,0,0,0.0,0,0,0.0,0,0,0.0,2,2,100.0,0,0,0.0,45,0,3,3,100.0,9,0.0,5,314,0,62.8,0,5,116,23.2,0,0,0,5,225,225,64,45.0,45.0,0,0,1,3,60.0,0,0.0,4,0,0,0.0,0,0,0,0,0,0,16,8,6,2,5,13,38.5,0,0,0.0,6,50,57,273,4.8,2,1,0,0,0,0,1.0,21,14,7,0,0,0
46178,2018-12-22,01:20:00 GMT,56,BAL,Baltimore,Ravens,75,LAC,Los Angeles,Chargers,1245,StubHub Center,75,LAC,Los Angeles,Chargers,37,23,62.2,37.0,181,147,4.9,3.6,147.0,0,0.0,2,5.4,48,0,0,4,34,51.8,16,16.0,51,3.2,51.0,1,13,2,12.5,0,0,0,23,243,10.6,243.0,0,48,10,0,0,0,45,66,21,3,2,1,0,0,0,0.0,0,5,22,12,0,0,2,1,1,1,1,4,2,0,2,45,22.5,26,0,1,0,0,0,2,33,16.5,24,0,1,0,1,0,0,1,1,100.0,0,0,0.0,0,0,0.0,1,1,100.0,0,0,0.0,0,0,0.0,38,0,1,1,100.0,4,0.0,3,185,0,61.7,0,3,55,18.3,0,0,0,7,291,274,49,41.6,39.1,0,2,1,2,28.6,0,0.0,3,2,17,8.5,0,0,0,0,0,0,14,10,2,2,4,13,30.8,0,0,0.0,8,69,57,198,3.5,1,0,1,0,0,0,0.0,10,22,-12,0,0,0
46180,2018-12-23,21:05:00 GMT,77,LA,Los Angeles,Rams,76,ARI,Arizona,Cardinals,1086,University of Phoenix Stadium,77,LA,Los Angeles,Rams,24,19,79.2,24.0,216,192,9.0,7.4,192.0,1,4.2,0,0.0,39,2,0,2,24,118.1,41,41.0,269,6.6,269.0,3,46,18,43.9,1,1,0,19,216,11.4,216.0,1,39,11,2,0,0,36,48,12,4,23,1,0,0,0,0.0,0,6,20,29,0,0,1,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,26,13.0,26,0,1,0,1,0,0,1,2,50.0,0,0,0.0,1,1,100.0,0,0,0.0,0,0,0.0,0,1,0.0,21,0,4,4,100.0,7,0.0,6,390,0,65.0,6,0,0,0.0,0,0,0,2,103,102,59,51.5,51.0,0,0,1,2,100.0,0,0.0,0,1,1,1.0,0,0,0,0,0,0,33,11,18,4,6,9,66.7,0,0,0.0,6,66,67,461,6.9,4,1,0,0,0,0,1.0,31,9,22,0,0,0
46173,2018-12-23,18:00:00 GMT,66,JAX,Jacksonville,Jaguars,49,MIA,Miami,Dolphins,1126,Hard Rock Stadium,49,MIA,Miami,Dolphins,22,15,68.2,22.0,146,121,6.6,4.8,121.0,1,4.6,1,4.6,31,2,0,3,25,82.8,18,18.0,62,3.4,62.0,0,12,2,11.1,0,0,1,15,146,9.7,146.0,1,31,8,2,0,0,52,62,10,6,33,3,0,0,0,0.0,0,0,23,50,0,0,1,1,1,0,1,0,1,0,3,56,18.7,20,0,1,0,0,0,2,12,6.0,9,0,0,0,3,0,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,1,1,100.0,1,0.0,2,130,0,65.0,2,0,0,0.0,0,0,0,6,278,223,54,46.3,37.2,0,1,0,2,33.3,0,0.0,1,4,55,13.8,0,0,0,0,0,0,11,8,2,1,2,9,22.2,0,0,0.0,10,95,43,183,4.3,1,0,1,0,0,0,0.0,7,17,-10,0,0,0
