#Game ID,#Game Date,#Game Time,#Away Team ID,#Away Team Abbr.,#Away Team City,#Away Team Name,#Home Team ID,#Home Team Abbr.,#Home Team City,#Home Team Name,#Venue ID,#Venue Name,#Team ID,#Team Abbr.,#Team City,#Team Name,#PassAttempts,#PassCompletions,#PassPct,#PassAttemptsPerGame,#PassGrossYards,#PassAvg,#PassNetYards,#PassYardsPerAtt,#PassYardsPerGame,#PassTD,#PassTDPct,#PassInt,#PassIntPct,#PassLng,#Pass20Plus,#Pass40Plus,#PassSacks,#PassSackY,#QBRating,#RushAttempts,#RushAttemptsPerGame,#RushYards,#RushAverage,#RushYardsPerGame,#RushTD,#RushLng,#Rush1stDowns,#Rush1stDownsPct,#Rush20Plus,#Rush40Plus,#RushFumbles,#Receptions,#RecYards,#RecAverage,#RecYardsPerGame,#RecTD,#RecLng,#Rec1stDowns,#Rec20Plus,#Rec40Plus,#RecFumbles,#TackleSolo,#TackleTotal,#TackleAst,#Sacks,#SackYds,#TacklesForLoss,#Interceptions,#IntTD,#IntYds,#IntAverage,#IntLng,#PassesDefended,#Stuffs,#StuffYds,#KB,#Safeties,#Fumbles,#FumLost,#FumForced,#FumOwnRec,#FumOppRec,#FumRecYds,#FumTotalRec,#FumTD,#KrRet,#KrYds,#KrAvg,#KrLng,#KrTD,#Kr20Plus,#Kr40Plus,#KrFC,#KrFum,#PrRet,#PrYds,#PrAvg,#PrLng,#PrTD,#Pr20Plus,#Pr40Plus,#PrFC,#PrFum,#FgBlk,#FgMade,#FgAtt,#FgPct,#FgMade1_19,#FgAtt1_19,#Fg1_19Pct,#FgMade20_29,#FgAtt20_29,#Fg20_29Pct,#FgMade30_39,#FgAtt30_39,#Fg30_39Pct,#FgMade40_49,#FgAtt40_49,#Fg40_49Pct,#FgMade50Plus,#FgAtt50Plus,#Fg50PlusPct,#FgLng,#XpBlk,#XpMade,#XpAtt,#XpPct,#FgAndXpPts,#KoPct,#Kickoffs,#KoYds,#KoOOB,#KoAvg,#KoTB,#KoRet,#KoRetYds,#KoRetAvgYds,#KoTD,#KoOS,#KoOSR,#Punts,#PuntYds,#PuntNetYds,#PuntLng,#PuntAvg,#PuntNetAvg,#PuntBlk,#PuntOOB,#PuntDown,#PuntIn20,#PuntIn20Pct,#PuntTB,#PuntTBPct,#PuntFC,#PuntRet,#PuntRetYds,#PuntRetAvg,#TwoPtAtt,#TwoPtMade,#TwoPtPassAtt,#TwoPtPassMade,#TwoPtRushAtt,#TwoPtRushMade,#DefensiveTD,#FirstDownsTotal,#DefensiveTwoPt,#DefensiveXP,#FirstDownsPass,#FirstDownsRush,#FirstDownsPenalty,#ThirdDowns,#ThirdDownsAtt,#ThirdDownsPct,#FourthDowns,#FourthDownsAtt,#FourthDownsPct,#Penalties,#PenaltyYds,#OffensePlays,#OffenseYds,#OffenseAvgYds,#TotalTD,#Wins,#Losses,#Ties,#OTWins,#OTLosses,#WinPct,#PointsFor,#PointsAgainst,#PointDifferential,#OffenseSnaps,#DefenseSnaps,#SpecialTeamSnaps
56761,2020-09-13,17:00:00 GMT,60,CHI,Chicago,Bears,61,DET,Detroit,Lions,1106,Ford Field,61,DET,Detroit,Lions,42,24,57.1,42.0,297,7.1,288,6.7,288.0,1,2.4,1,2.4,32,5,0,1,9,77.2,29,29.0,138,4.8,138.0,1,21,7,24.1,1,0,0,24,297,12.4,297.0,1,32,14,5,0,0,44,53,9,1,28,2,0,0,0,0.0,0,7,22,21,0,0,0,0,1,0,0,0,0,0,2,66,33.0,35,0,2,0,0,0,1,16,16.0,16,0,0,0,3,0,0,3,4,75.0,0,0,0.0,1,1,100.0,1,1,100.0,1,1,100.0,0,1,0.0,44,0,2,2,100.0,11,0.0,6,408,0,68.0,3,3,110,36.7,0,0,0,4,197,197,55,49.2,49.2,0,1,1,2,50.0,0,0.0,1,1,0,0.0,0,0,0,0,0,0,0,25,0,0,14,7,4,6,16,37.5,0,0,0.0,8,77,72,426,5.9,2,0,1,0,0,0,0.0,23,27,-4,0,0,0
56763,2020-09-13,17:00:00 GMT,62,GB,Green Bay,Packers,63,MIN,Minnesota,Vikings,1246,US Bank Stadium,62,GB,Green Bay,Packers,44,32,72.7,44.0,364,8.3,364,8.3,364.0,4,9.1,0,0.0,45,5,2,0,0,127.5,32,32.0,158,4.9,158.0,1,21,11,34.4,1,0,1,32,364,11.4,364.0,4,45,17,5,2,0,31,49,18,2,11,0,1,0,-4,-4.0,-4,3,10,14,0,1,1,0,0,0,0,0,0,0,1,18,18.0,18,0,0,0,0,0,1,0,0.0,0,0,0,0,1,0,0,2,2,100.0,0,0,0.0,0,0,0.0,1,1,100.0,1,1,100.0,0,0,0.0,43,0,5,5,100.0,11,0.0,8,526,0,65.8,6,2,64,32.0,0,0,0,1,40,40,40,40.0,40.0,0,1,0,1,100.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,31,0,0,17,11,3,6,11,54.6,1,2,50.0,6,63,76,522,6.9,5,1,0,0,0,0,1.0,43,34,9,0,0,0
56752,2020-09-10,00:20:00 GMT,64,HOU,Houston,Texans,73,KC,Kansas City,Chiefs,1116,Arrowhead Stadium,64,HOU,Houston,Texans,32,20,62.5,32.0,253,7.9,242,6.7,242.0,1,3.1,1,3.1,31,3,0,4,11,84.5,22,22.0,118,5.4,118.0,2,19,8,36.4,0,0,0,20,253,12.6,253.0,1,31,13,3,0,0,50,65,15,1,8,0,0,0,0,0.0,0,3,16,13,0,0,0,0,0,0,0,0,0,0,3,66,22.0,23,0,3,0,0,0,1,19,19.0,19,0,0,0,0,0,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,2,2,100.0,2,0.0,4,201,0,50.2,2,2,48,24.0,0,1,0,3,123,123,42,41.0,41.0,0,1,0,2,66.7,0,0.0,2,0,0,0.0,1,0,1,0,0,0,0,21,0,0,13,8,0,4,10,40.0,1,1,100.0,5,37,58,360,6.2,3,0,1,0,0,0,0.0,20,34,-14,0,0,0
56762,2020-09-13,17:00:00 GMT,65,IND,Indianapolis,Colts,66,JAX,Jacksonville,Jaguars,1266,TIAA Bank Field,65,IND,Indianapolis,Colts,46,36,78.3,46.0,363,7.9,357,7.6,357.0,1,2.2,2,4.4,35,4,0,1,6,88.7,22,22.0,88,4.0,88.0,1,18,5,22.7,0,0,0,36,363,10.1,363.0,1,35,17,4,0,0,36,52,16,4,23,1,0,0,0,0.0,0,1,11,29,0,0,0,0,0,0,0,0,0,0,3,90,30.0,41,0,3,1,0,0,0,0,0.0,0,0,0,0,1,0,0,2,3,66.7,0,0,0.0,1,1,100.0,1,2,50.0,0,0,0.0,0,0,0.0,38,0,2,2,100.0,8,0.0,5,328,0,65.6,3,2,50,25.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,27,0,0,17,5,5,4,12,33.3,1,3,33.3,5,80,69,445,6.4,2,0,1,0,0,0,0.0,20,27,-7,0,0,0
56762,2020-09-13,17:00:00 GMT,65,IND,Indianapolis,Colts,66,JAX,Jacksonville,Jaguars,1266,TIAA Bank Field,66,JAX,Jacksonville,Jaguars,20,19,95.0,20.0,173,8.6,150,6.2,150.0,3,15.0,0,0.0,28,2,0,4,23,142.3,23,23.0,91,4.0,91.0,0,12,4,17.4,0,0,0,19,173,9.1,173.0,3,28,11,2,0,0,49,67,18,1,6,2,2,0,34,17.0,22,6,19,18,0,0,0,0,0,0,0,0,0,0,2,50,25.0,39,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,2,2,100.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,100.0,1,1,100.0,50,0,3,3,100.0,9,0.0,6,389,0,64.8,3,3,90,30.0,0,0,0,3,136,136,53,45.3,45.3,0,1,1,1,33.3,0,0.0,1,0,0,0.0,0,0,0,0,0,0,0,17,0,0,11,4,2,5,10,50.0,0,0,0.0,6,61,47,241,5.1,3,1,0,0,0,0,1.0,27,20,7,0,0,0
56752,2020-09-10,00:20:00 GMT,64,HOU,Houston,Texans,73,KC,Kansas City,Chiefs,1116,Arrowhead Stadium,73,KC,Kansas City,Chiefs,32,24,75.0,32.0,211,6.6,203,6.2,203.0,3,9.4,0,0.0,19,0,0,1,8,123.3,34,34.0,166,4.9,166.0,1,27,9,26.5,1,0,0,24,211,8.8,211.0,3,19,16,0,0,0,38,52,14,4,11,4,1,0,39,39.0,39,4,17,31,0,0,0,0,0,0,0,0,0,0,2,48,24.0,28,0,2,0,0,0,0,0,0.0,0,0,0,0,2,0,0,2,2,100.0,1,1,100.0,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0.0,29,0,4,4,100.0,10,0.0,6,390,0,65.0,3,3,66,22.0,0,0,0,3,136,117,54,45.3,39.0,0,0,1,1,33.3,1,33.3,0,1,19,19.0,0,0,0,0,0,0,0,28,0,0,16,9,3,7,13,53.8,1,1,100.0,1,5,67,369,5.5,4,1,0,0,0,0,1.0,34,20,14,0,0,0
56760,2020-09-13,17:00:00 GMT,74,LV,Las Vegas,Raiders,69,CAR,Carolina,Panthers,1096,Bank of America Stadium,74,LV,Las Vegas,Raiders,30,22,73.3,30.0,239,8.0,239,8.0,239.0,1,3.3,0,0.0,45,3,1,0,0,107.5,31,31.0,133,4.3,133.0,3,15,10,32.3,0,0,1,22,239,10.9,239.0,1,45,11,3,1,0,37,71,34,1,10,3,0,0,0,0.0,0,5,19,11,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,37,18.5,27,0,1,0,0,0,0,2,2,100.0,0,0,0.0,1,1,100.0,0,0,0.0,0,0,0.0,1,1,100.0,54,0,4,4,100.0,10,0.0,7,451,0,64.4,3,4,110,27.5,0,0,0,3,127,98,52,42.3,32.7,0,1,0,0,0.0,0,0.0,0,2,29,14.5,0,0,0,0,0,0,0,23,0,0,11,10,2,6,11,54.6,0,0,0.0,3,40,61,372,6.1,4,1,0,0,0,0,1.0,34,30,4,0,0,0
56766,2020-09-13,20:05:00 GMT,75,LAC,Los Angeles,Chargers,57,CIN,Cincinnati,Bengals,1099,Paul Brown Stadium,75,LAC,Los Angeles,Chargers,30,16,53.3,30.0,208,6.9,207,6.5,207.0,0,0.0,0,0.0,37,3,0,2,1,75.4,39,39.0,155,4.0,155.0,1,26,7,18.0,1,0,0,16,208,13.0,208.0,0,37,10,3,0,0,48,65,17,3,20,3,1,0,0,0.0,0,6,21,28,0,0,0,0,0,1,0,-1,1,0,1,46,46.0,46,0,1,1,0,0,2,7,3.5,17,0,0,0,1,0,0,3,4,75.0,0,0,0.0,2,2,100.0,0,0,0.0,1,1,100.0,0,1,0.0,43,0,1,1,100.0,10,0.0,4,262,0,65.5,3,1,44,44.0,0,0,0,5,244,215,63,48.8,43.0,0,3,0,1,20.0,0,0.0,0,2,29,14.5,0,0,0,0,0,0,0,19,0,0,10,7,2,6,16,37.5,0,2,0.0,6,35,71,362,5.1,1,1,0,0,0,0,1.0,16,13,3,0,0,0
56769,2020-09-13,00:20:00 GMT,52,DAL,Dallas,Cowboys,77,LA,Los Angeles,Rams,1288,SoFi Stadium,77,LA,Los Angeles,Rams,31,20,64.5,31.0,275,8.9,269,8.4,269.0,0,0.0,1,3.2,31,5,0,1,6,79.4,40,40.0,153,3.8,153.0,2,14,12,30.0,0,0,0,20,275,13.8,275.0,0,31,12,5,0,0,48,67,19,3,22,3,0,0,0,0.0,0,5,20,22,0,0,0,0,0,0,0,0,0,0,1,20,20.0,20,0,1,0,0,0,0,0,0.0,0,0,0,0,4,0,0,2,3,66.7,0,0,0.0,0,1,0.0,2,2,100.0,0,0,0.0,0,0,0.0,35,0,2,2,100.0,8,0.0,5,314,0,62.8,3,2,48,24.0,0,0,0,3,142,122,58,47.3,40.7,0,0,0,2,66.7,0,0.0,2,1,20,20.0,0,0,0,0,0,0,0,23,0,0,12,11,0,9,17,52.9,1,1,100.0,5,34,72,422,5.9,2,1,0,0,0,0,1.0,20,17,3,0,0,0
56764,2020-09-13,17:00:00 GMT,49,MIA,Miami,Dolphins,50,NE,New England,Patriots,1129,Gillette Stadium,49,MIA,Miami,Dolphins,30,20,66.7,30.0,191,6.4,182,5.9,182.0,0,0.0,3,10.0,21,2,0,1,9,44.6,27,27.0,87,3.2,87.0,1,12,7,25.9,0,0,0,20,191,9.6,191.0,0,21,11,2,0,0,55,71,16,2,15,2,0,0,0,0.0,0,3,11,21,0,0,1,0,1,1,0,0,1,0,0,0,0.0,0,0,0,0,0,0,1,-3,-3.0,-3,0,0,0,0,0,0,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,100.0,0,0,0.0,46,0,0,0,0.0,3,0.0,3,195,0,65.0,3,0,0,0.0,0,0,0,3,151,151,58,50.3,50.3,0,0,0,0,0.0,1,33.3,1,0,0,0.0,1,1,0,0,1,1,0,20,0,0,11,6,3,4,11,36.4,0,0,0.0,4,35,58,269,4.6,1,0,1,0,0,0,0.0,11,21,-10,0,0,0
