#Date/Time of Update: 2023-11-19 14:45:27 GMT,#Game ID,#Game Date,#Game Time,#Away Team ID,#Away Team Abbr.,#Away Team City,#Away Team Name,#Home Team ID,#Home Team Abbr.,#Home Team City,#Home Team Name,#Venue ID,#Venue Name,#Team ID,#Team Abbr.,#Team City,#Team Name,#PassAttempts,#PassCompletions,#PassPct,#PassAttemptsPerGame,#PassGrossYards,#PassNetYards,#PassAvg,#PassYardsPerAtt,#PassYardsPerGame,#PassTD,#PassTDPct,#PassInt,#PassIntPct,#PassLng,#Pass20Plus,#Pass40Plus,#PassSacks,#PassSackY,#QBRating,#RushAttempts,#RushAttemptsPerGame,#RushYards,#RushAverage,#RushYardsPerGame,#RushTD,#RushLng,#Rush1stDowns,#Rush1stDownsPct,#Rush20Plus,#Rush40Plus,#RushFumbles,#Receptions,#RecYards,#RecAverage,#RecYardsPerGame,#RecTD,#RecLng,#Rec1stDowns,#Rec20Plus,#Rec40Plus,#RecFumbles,#TackleSolo,#TackleTotal,#TackleAst,#Sacks,#SackYds,#TacklesForLoss,#Interceptions,#IntTD,#IntYds,#IntAverage,#IntLng,#PassesDefended,#Stuffs,#StuffYds,#KB,#Safeties,#Fumbles,#FumLost,#FumForced,#FumOwnRec,#FumOppRec,#FumRecYds,#FumTotalRec,#FumTD,#KrRet,#KrYds,#KrAvg,#KrLng,#KrTD,#Kr20Plus,#Kr40Plus,#KrFC,#KrFum,#PrRet,#PrYds,#PrAvg,#PrLng,#PrTD,#Pr20Plus,#Pr40Plus,#PrFC,#PrFum,#FgBlk,#FgMade,#FgAtt,#FgPct,#FgMade1_19,#FgAtt1_19,#Fg1_19Pct,#FgMade20_29,#FgAtt20_29,#Fg20_29Pct,#FgMade30_39,#FgAtt30_39,#Fg30_39Pct,#FgMade40_49,#FgAtt40_49,#Fg40_49Pct,#FgMade50Plus,#FgAtt50Plus,#Fg50PlusPct,#FgLng,#XpBlk,#XpMade,#XpAtt,#XpPct,#FgAndXpPts,#KoPct,#Kickoffs,#KoYds,#KoOOB,#KoAvg,#KoTB,#KoRet,#KoRetYds,#KoRetAvgYds,#KoTD,#KoOS,#KoOSR,#Punts,#PuntYds,#PuntNetYds,#PuntLng,#PuntAvg,#PuntNetAvg,#PuntBlk,#PuntOOB,#PuntDown,#PuntIn20,#PuntIn20Pct,#PuntTB,#PuntTBPct,#PuntFC,#PuntRet,#PuntRetYds,#PuntRetAvg,#TwoPtAtt,#TwoPtMade,#TwoPtPassAtt,#TwoPtPassMade,#TwoPtRushAtt,#TwoPtRushMade,#DefensiveTD,#FirstDownsTotal,#DefensiveTwoPt,#DefensiveXP,#FirstDownsPass,#FirstDownsRush,#FirstDownsPenalty,#ThirdDowns,#ThirdDownsAtt,#ThirdDownsPct,#FourthDowns,#FourthDownsAtt,#FourthDownsPct,#Penalties,#PenaltyYds,#OffensePlays,#OffenseYds,#OffenseAvgYds,#TotalTD,#Wins,#Losses,#Ties,#OTWins,#OTLosses,#WinPct,#PointsFor,#PointsAgainst,#PointDifferential,#OffenseSnaps,#DefenseSnaps,#SpecialTeamSnaps
,71934,2022-12-18,18:00:00 GMT,61,DET,Detroit,Lions,51,NYJ,New York,Jets,1132,MetLife Stadium,61,DET,Detroit,Lions,38,23,60.5,38.0,252,252,6.6,6.6,252.0,1,2.6,0,0.0,51,1,1,0,0,88.9,28,28.0,107,3.8,107.0,0,16,4,14.3,0,0,0,23,252,11.0,252.0,1,51,14,1,1,0,36,56,20,4,30,4,1,0,38,38.0,38,7,29,34,0,0,0,0,0,0,0,0,0,0,1,25,25.0,25,0,1,0,0,0,1,47,47.0,47,1,1,1,1,0,0,2,3,66.7,0,0,0.0,0,0,0.0,2,2,100.0,0,0,0.0,0,1,0.0,34,0,2,2,100.0,8,0.0,5,320,0,64.0,2,3,50,16.7,0,0,0,4,178,172,49,44.5,43.0,0,0,0,1,25.0,1,25.0,2,1,6,6.0,0,0,0,0,0,0,1,17,0,1,14,3,0,5,15,33.3,2,3,66.7,6,52,66,359,5.4,2,1,0,0,0,0,1.000,20,17,3,68,63,28
,71944,2022-12-19,01:15:00 GMT,77,LA,Los Angeles,Rams,62,GB,Green Bay,Packers,1108,Lambeau Field,62,GB,Green Bay,Packers,30,22,73.3,30.0,229,207,7.6,6.3,207.0,1,3.3,1,3.3,25,2,0,3,22,92.2,35,35.0,138,3.9,138.0,2,14,9,25.7,0,0,1,22,229,10.4,229.0,1,25,15,2,0,0,36,42,6,5,27,3,1,0,0,0.0,11,6,18,35,0,0,2,1,1,1,0,-1,1,0,4,95,23.8,52,0,3,2,0,0,2,36,18.0,19,0,0,0,1,0,0,1,1,100.0,0,0,0.0,0,0,0.0,1,1,100.0,0,0,0.0,0,0,0.0,34,0,3,3,100.0,6,0.0,5,287,0,57.4,0,5,99,19.8,0,0,0,1,37,29,37,37.0,29.0,0,0,0,1,100.0,0,0.0,0,1,8,8.0,0,0,0,0,0,0,0,27,0,0,15,9,3,4,9,44.4,2,2,100.0,4,80,68,345,5.1,3,1,0,0,0,0,1.000,24,12,12,71,45,21
,71932,2022-12-18,18:00:00 GMT,73,KC,Kansas City,Chiefs,64,HOU,Houston,Texans,1110,NRG Stadium,64,HOU,Houston,Texans,29,14,48.3,29.0,129,125,4.4,4.2,125.0,2,6.9,0,0.0,34,1,0,1,4,83.8,28,28.0,94,3.4,94.0,1,17,5,17.9,0,0,1,14,129,9.2,129.0,2,34,8,1,0,0,63,91,28,2,23,2,0,0,0,0.0,0,2,12,31,0,0,1,1,2,0,2,5,2,0,0,0,0.0,0,0,0,0,0,0,3,23,7.7,13,0,0,0,1,0,0,1,1,100.0,0,0,0.0,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0.0,29,0,3,3,100.0,6,0.0,6,380,0,63.3,3,3,52,17.3,0,0,0,5,234,226,52,46.8,45.2,0,1,1,2,40.0,0,0.0,1,2,8,4.0,0,0,0,0,0,0,0,18,0,0,8,5,5,4,10,40.0,0,0,0.0,4,33,58,219,3.8,3,0,1,0,0,0,0.000,24,30,-6,63,77,28
,72026,2022-12-17,18:00:00 GMT,65,IND,Indianapolis,Colts,63,MIN,Minnesota,Vikings,1246,US Bank Stadium,65,IND,Indianapolis,Colts,33,19,57.6,33.0,182,170,5.5,4.7,170.0,1,3.0,0,0.0,36,2,0,3,12,83.1,43,43.0,171,4.0,171.0,0,19,8,18.6,0,0,1,19,182,9.6,182.0,1,36,11,2,0,0,56,84,28,7,34,3,2,1,17,8.5,17,11,36,43,0,0,3,1,1,2,1,4,3,0,5,175,35.0,49,0,5,2,0,0,1,0,0.0,0,0,0,0,3,0,0,5,5,100.0,0,0,0.0,3,3,100.0,0,0,0.0,1,1,100.0,1,1,100.0,52,0,3,3,100.0,18,0.0,10,675,0,67.5,4,6,159,26.5,0,0,0,7,305,231,55,43.6,33.0,0,0,2,3,42.9,0,0.0,2,3,74,24.7,0,0,0,0,0,0,2,20,0,2,11,8,1,6,19,31.6,0,1,0.0,11,103,79,341,4.3,2,0,1,0,0,0,0.000,36,39,-3,79,90,43
,71933,2022-12-18,18:00:00 GMT,52,DAL,Dallas,Cowboys,66,JAX,Jacksonville,Jaguars,1266,TIAA Bank Field,66,JAX,Jacksonville,Jaguars,42,27,64.3,42.0,318,311,7.6,7.2,311.0,4,9.5,1,2.4,59,3,1,1,7,109.0,27,27.0,192,7.1,192.0,0,30,14,51.8,1,0,2,27,318,11.8,318.0,4,59,13,3,1,0,56,84,28,3,13,1,2,1,54,27.0,52,6,19,29,0,0,2,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,13,13.0,13,0,0,0,2,0,0,2,2,100.0,0,0,0.0,0,0,0.0,1,1,100.0,1,1,100.0,0,0,0.0,48,0,4,4,100.0,10,0.0,6,391,0,65.2,3,3,70,23.3,0,0,0,3,160,144,61,53.3,48.0,0,0,0,1,33.3,0,0.0,2,1,16,16.0,0,0,0,0,0,0,1,26,0,0,13,13,0,8,12,66.7,0,0,0.0,4,37,70,503,7.2,5,1,0,0,0,0,1.000,40,34,6,70,75,33
,71932,2022-12-18,18:00:00 GMT,73,KC,Kansas City,Chiefs,64,HOU,Houston,Texans,1110,NRG Stadium,73,KC,Kansas City,Chiefs,41,36,87.8,41.0,336,313,8.2,7.3,313.0,2,4.9,0,0.0,21,2,0,2,23,117.1,33,33.0,189,5.7,189.0,2,26,11,33.3,1,0,2,36,336,9.3,336.0,2,21,20,2,0,0,35,53,18,1,4,2,0,0,0,0.0,0,7,25,11,0,0,3,2,1,1,1,-3,2,0,3,47,15.7,20,0,1,0,0,0,2,8,4.0,5,0,0,0,1,0,0,1,2,50.0,0,0,0.0,1,1,100.0,0,0,0.0,0,0,0.0,0,1,0.0,27,0,1,2,50.0,4,0.0,5,325,0,65.0,5,0,0,0.0,0,0,0,4,193,170,57,48.2,42.5,0,0,0,3,75.0,0,0.0,1,3,23,7.7,1,1,1,1,0,0,0,33,0,0,20,11,2,6,12,50.0,0,0,0.0,10,102,76,502,6.6,4,1,0,0,0,0,1.000,30,24,6,77,63,28
,71938,2022-12-18,21:05:00 GMT,50,NE,New England,Patriots,74,LV,Las Vegas,Raiders,1287,Allegiant Stadium,74,LV,Las Vegas,Raiders,38,20,52.6,38.0,231,211,6.1,5.2,211.0,3,7.9,1,2.6,30,4,0,3,20,86.6,23,23.0,97,4.2,97.0,0,18,6,26.1,0,0,1,20,231,11.6,231.0,3,30,10,4,0,0,33,60,27,0,0,0,0,0,0,0.0,0,7,24,16,0,0,2,0,0,2,1,48,3,1,6,126,21.0,37,0,4,0,0,0,3,20,6.7,14,0,0,0,0,0,0,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,100.0,0,0,0.0,49,0,3,3,100.0,6,0.0,5,325,0,65.0,5,0,0,0.0,0,0,0,7,324,299,50,46.3,42.7,0,2,1,2,28.6,0,0.0,1,3,25,8.3,0,0,0,0,0,0,1,18,0,0,10,6,2,5,14,35.7,1,1,100.0,13,90,64,308,4.8,4,1,0,0,0,0,1.000,30,24,6,68,65,32
,71936,2022-12-18,21:25:00 GMT,67,TEN,Tennessee,Titans,75,LAC,Los Angeles,Chargers,1288,SoFi Stadium,75,LAC,Los Angeles,Chargers,42,28,66.7,42.0,313,291,7.4,6.5,291.0,0,0.0,2,4.8,35,3,0,3,22,68.8,24,24.0,74,3.1,74.0,2,12,8,33.3,0,0,0,28,313,11.2,313.0,0,35,13,3,0,0,43,66,23,4,28,1,1,0,0,0.0,0,5,17,33,0,0,0,0,1,0,0,0,0,0,1,17,17.0,17,0,0,0,0,0,4,53,13.2,18,0,0,0,1,0,0,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,100.0,0,0,0.0,43,0,2,2,100.0,5,0.0,4,238,0,59.5,3,1,-3,-3.0,0,0,0,7,291,291,54,41.6,41.6,0,1,0,3,42.9,1,14.3,3,1,0,0.0,0,0,0,0,0,0,0,23,0,0,13,8,2,4,13,30.8,2,2,100.0,3,20,69,365,5.3,2,1,0,0,0,0,1.000,17,14,3,71,62,27
,71944,2022-12-19,01:15:00 GMT,77,LA,Los Angeles,Rams,62,GB,Green Bay,Packers,1108,Lambeau Field,77,LA,Los Angeles,Rams,21,12,57.1,21.0,111,84,5.3,3.2,84.0,1,4.8,1,4.8,18,0,0,5,27,67.8,17,17.0,72,4.2,72.0,0,19,4,23.5,0,0,0,12,100,8.3,100.0,1,18,6,0,0,0,49,71,22,3,22,3,1,0,18,18.0,18,3,21,31,0,0,1,0,1,1,1,12,2,0,5,99,19.8,29,0,3,0,0,0,1,8,8.0,8,0,0,0,0,0,0,2,2,100.0,0,0,0.0,0,0,0.0,1,1,100.0,0,0,0.0,1,1,100.0,55,0,0,1,0.0,6,0.0,4,228,0,57.0,0,3,125,41.7,0,0,0,4,151,115,47,37.8,28.8,0,1,0,1,25.0,0,0.0,1,2,36,18.0,0,0,0,0,0,0,0,13,0,0,6,4,3,4,11,36.4,0,0,0.0,8,76,43,156,3.6,1,0,1,0,0,0,0.000,12,24,-12,45,71,21
,72024,2022-12-17,01:15:00 GMT,49,MIA,Miami,Dolphins,48,BUF,Buffalo,Bills,1390,Highmark Stadium,49,MIA,Miami,Dolphins,30,17,56.7,30.0,234,217,7.8,6.8,217.0,2,6.7,0,0.0,67,5,1,2,17,104.0,25,25.0,188,7.5,188.0,1,67,8,32.0,0,1,0,17,234,13.8,234.0,2,67,9,5,1,0,46,67,21,2,12,0,0,0,0,0.0,0,2,21,22,0,0,1,0,2,1,1,2,2,0,1,28,28.0,28,0,1,0,0,0,0,0,0.0,0,0,0,0,3,0,0,3,3,100.0,0,0,0.0,1,1,100.0,1,1,100.0,1,1,100.0,0,0,0.0,47,0,2,2,100.0,11,0.0,7,460,0,65.7,4,3,76,25.3,0,0,0,4,167,162,59,41.8,40.5,0,0,2,3,75.0,0,0.0,1,1,5,5.0,1,0,1,0,0,0,0,20,0,0,9,8,3,5,14,35.7,1,1,100.0,8,51,57,405,7.1,3,0,1,0,0,0,0.000,29,32,-3,59,78,30
,72026,2022-12-17,18:00:00 GMT,65,IND,Indianapolis,Colts,63,MIN,Minnesota,Vikings,1246,US Bank Stadium,63,MIN,Minnesota,Vikings,55,34,61.8,55.0,460,426,8.4,6.9,426.0,4,7.3,2,3.6,64,4,2,7,34,97.5,24,24.0,92,3.8,92.0,1,40,4,16.7,0,1,1,34,460,13.5,460.0,4,64,22,4,2,0,51,93,42,3,11,3,0,0,0,0.0,0,5,25,29,0,0,1,1,2,0,1,0,1,0,6,159,26.5,36,0,6,0,0,0,3,13,4.3,51,0,1,1,2,0,0,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,100.0,0,0,0.0,40,0,4,4,100.0,7,0.0,6,417,0,69.5,1,5,175,35.0,0,0,0,6,230,230,63,38.3,38.3,1,0,1,2,33.3,0,0.0,3,0,0,0.0,1,1,1,1,0,0,0,32,0,0,22,4,6,5,15,33.3,0,3,0.0,9,74,86,518,6.0,5,1,0,0,0,0,1.000,39,36,3,90,79,43
