#Date/Time of Update: 2023-11-19 14:31:13 GMT,#Game ID,#Game Date,#Game Time,#Away Team ID,#Away Team Abbr.,#Away Team City,#Away Team Name,#Home Team ID,#Home Team Abbr.,#Home Team City,#Home Team Name,#Venue ID,#Venue Name,#Team ID,#Team Abbr.,#Team City,#Team Name,#PassAttempts,#PassCompletions,#PassPct,#PassAttemptsPerGame,#PassGrossYards,#PassAvg,#PassNetYards,#PassYardsPerAtt,#PassYardsPerGame,#PassTD,#PassTDPct,#PassInt,#PassIntPct,#PassLng,#Pass20Plus,#Pass40Plus,#PassSacks,#PassSackY,#QBRating,#RushAttempts,#RushAttemptsPerGame,#RushYards,#RushAverage,#RushYardsPerGame,#RushTD,#RushLng,#Rush1stDowns,#Rush1stDownsPct,#Rush20Plus,#Rush40Plus,#RushFumbles,#Receptions,#RecYards,#RecAverage,#RecYardsPerGame,#RecTD,#RecLng,#Rec1stDowns,#Rec20Plus,#Rec40Plus,#RecFumbles,#TackleSolo,#TackleTotal,#TackleAst,#Sacks,#SackYds,#TacklesForLoss,#Interceptions,#IntTD,#IntYds,#IntAverage,#IntLng,#PassesDefended,#Stuffs,#StuffYds,#KB,#Safeties,#Fumbles,#FumLost,#FumForced,#FumOwnRec,#FumOppRec,#FumRecYds,#FumTotalRec,#FumTD,#KrRet,#KrYds,#KrAvg,#KrLng,#KrTD,#Kr20Plus,#Kr40Plus,#KrFC,#KrFum,#PrRet,#PrYds,#PrAvg,#PrLng,#PrTD,#Pr20Plus,#Pr40Plus,#PrFC,#PrFum,#FgBlk,#FgMade,#FgAtt,#FgPct,#FgMade1_19,#FgAtt1_19,#Fg1_19Pct,#FgMade20_29,#FgAtt20_29,#Fg20_29Pct,#FgMade30_39,#FgAtt30_39,#Fg30_39Pct,#FgMade40_49,#FgAtt40_49,#Fg40_49Pct,#FgMade50Plus,#FgAtt50Plus,#Fg50PlusPct,#FgLng,#XpBlk,#XpMade,#XpAtt,#XpPct,#FgAndXpPts,#KoPct,#Kickoffs,#KoYds,#KoOOB,#KoAvg,#KoTB,#KoRet,#KoRetYds,#KoRetAvgYds,#KoTD,#KoOS,#KoOSR,#Punts,#PuntYds,#PuntNetYds,#PuntLng,#PuntAvg,#PuntNetAvg,#PuntBlk,#PuntOOB,#PuntDown,#PuntIn20,#PuntIn20Pct,#PuntTB,#PuntTBPct,#PuntFC,#PuntRet,#PuntRetYds,#PuntRetAvg,#TwoPtAtt,#TwoPtMade,#TwoPtPassAtt,#TwoPtPassMade,#TwoPtRushAtt,#TwoPtRushMade,#DefensiveXP,#DefensiveTD,#FirstDownsTotal,#DefensiveTwoPt,#FirstDownsPass,#FirstDownsRush,#FirstDownsPenalty,#ThirdDowns,#ThirdDownsAtt,#ThirdDownsPct,#FourthDowns,#FourthDownsAtt,#FourthDownsPct,#Penalties,#PenaltyYds,#OffensePlays,#OffenseYds,#OffenseAvgYds,#TotalTD,#Wins,#Losses,#Ties,#OTWins,#OTLosses,#WinPct,#PointsFor,#PointsAgainst,#PointDifferential,#OffenseSnaps,#DefenseSnaps,#SpecialTeamSnaps
,71817,2022-10-23,17:00:00 GMT,62,GB,Green Bay,Packers,55,WAS,Washington,Commanders,1157,FedEx Field,62,GB,Green Bay,Packers,35,23,65.7,35.0,194,5.5,194,5.5,194.0,2,5.7,0,0.0,28,3,0,0,0,99.0,12,12.0,38,3.2,38.0,0,8,2,16.7,0,0,0,23,218,9.5,218.0,2,28,10,3,0,0,39,89,50,1,3,2,1,1,63,63.0,63,9,21,13,0,0,3,1,0,1,0,18,1,0,0,0,0.0,0,0,0,0,0,0,2,16,8.0,16,0,0,0,1,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,3,3,100.0,3,0.0,4,255,0,63.8,1,3,78,26.0,0,0,0,5,208,200,55,41.6,40.0,0,1,1,2,40.0,0,0.0,1,2,8,4.0,0,0,0,0,0,0,1,1,16,0,10,2,4,0,6,0.0,0,1,0.0,9,69,47,232,4.9,3,0,1,0,0,0,0.000,21,23,-2,54,74,29
,71819,2022-10-23,20:05:00 GMT,64,HOU,Houston,Texans,74,LV,Las Vegas,Raiders,1287,Allegiant Stadium,64,HOU,Houston,Texans,41,28,68.3,41.0,302,7.4,296,7.0,296.0,2,4.9,1,2.4,39,5,0,1,6,95.8,23,23.0,108,4.7,108.0,0,22,9,39.1,1,0,0,28,302,10.8,302.0,2,39,12,5,0,0,42,51,9,1,5,2,0,0,0,0.0,0,2,15,10,0,0,0,0,0,0,0,0,0,0,4,78,19.5,25,0,2,0,0,0,1,1,1.0,1,0,0,0,1,0,0,2,3,66.7,0,0,0.0,0,0,0.0,1,2,50.0,0,0,0.0,1,1,100.0,55,0,2,2,100.0,8,0.0,5,314,0,62.8,1,4,74,18.5,0,0,0,1,55,55,55,55.0,55.0,0,0,0,1,100.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,21,0,12,9,0,9,15,60.0,1,2,50.0,3,14,65,404,6.2,2,0,1,0,0,0,0.000,20,38,-18,65,56,27
,71816,2022-10-23,17:00:00 GMT,65,IND,Indianapolis,Colts,67,TEN,Tennessee,Titans,1155,Nissan Stadium,65,IND,Indianapolis,Colts,44,33,75.0,44.0,243,5.5,227,4.8,227.0,1,2.3,2,4.6,20,1,0,3,16,76.2,17,17.0,65,3.8,65.0,0,14,5,29.4,0,0,0,33,243,7.4,243.0,1,20,12,1,0,0,44,68,24,2,16,2,0,0,0,0.0,0,4,18,27,0,0,1,1,0,0,1,0,1,0,3,48,16.0,18,0,0,0,0,0,3,47,15.7,24,0,1,0,0,0,0,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,100.0,50,0,1,1,100.0,4,0.0,3,184,0,61.3,1,2,45,22.5,0,0,0,5,176,176,60,35.2,35.2,0,1,2,1,20.0,1,20.0,1,0,0,0.0,0,0,0,0,0,0,0,0,17,0,12,5,0,4,13,30.8,1,1,100.0,4,28,64,292,4.6,1,0,1,0,0,0,0.000,10,19,-9,64,59,24
,71815,2022-10-23,17:00:00 GMT,53,NYG,New York,Giants,66,JAX,Jacksonville,Jaguars,1266,TIAA Bank Field,66,JAX,Jacksonville,Jaguars,44,22,50.0,44.0,310,7.0,310,7.0,310.0,0,0.0,0,0.0,34,5,0,0,0,73.1,21,21.0,142,6.8,142.0,2,49,8,38.1,0,1,1,22,310,14.1,310.0,0,34,15,5,0,0,44,75,31,1,2,0,0,0,0,0.0,0,8,17,11,0,0,1,1,0,0,0,0,0,0,3,68,22.7,27,0,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,1,100.0,0,0,0.0,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0.0,27,1,0,1,0.0,3,0.0,4,260,0,65.0,4,0,0,0.0,0,0,0,2,106,104,57,53.0,52.0,0,0,0,0,0.0,0,0.0,1,1,2,2.0,1,1,0,0,1,1,0,0,27,0,15,7,5,6,13,46.2,2,4,50.0,13,81,65,452,7.0,2,0,1,0,0,0,0.000,17,23,-6,71,77,22
,71821,2022-10-23,20:25:00 GMT,73,KC,Kansas City,Chiefs,78,SF,San Francisco,49ers,1144,Levi's Stadium,73,KC,Kansas City,Chiefs,36,25,69.4,36.0,423,11.8,417,11.3,417.0,3,8.3,1,2.8,57,7,3,1,6,125.1,21,21.0,112,5.3,112.0,3,25,5,23.8,1,0,0,25,423,16.9,423.0,3,57,19,7,3,0,47,76,29,5,29,0,2,0,7,3.5,7,8,26,32,0,1,2,1,1,1,1,0,2,0,6,130,21.7,48,0,4,1,0,0,1,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,6,6,100.0,6,0.0,7,456,0,65.1,3,4,81,20.2,0,0,0,1,33,33,33,33.0,33.0,0,0,0,1,100.0,0,0.0,1,0,0,0.0,0,0,0,0,0,0,0,0,24,0,19,4,1,6,9,66.7,0,0,0.0,8,84,58,529,9.1,6,1,0,0,0,0,1.000,44,23,21,64,79,27
,71819,2022-10-23,20:05:00 GMT,64,HOU,Houston,Texans,74,LV,Las Vegas,Raiders,1287,Allegiant Stadium,74,LV,Las Vegas,Raiders,27,21,77.8,27.0,241,8.9,236,8.4,236.0,1,3.7,0,0.0,27,3,0,1,5,116.2,27,27.0,164,6.1,164.0,3,18,12,44.4,0,0,1,21,241,11.5,241.0,1,27,13,3,0,0,43,72,29,1,6,3,1,1,73,73.0,73,4,18,15,0,0,2,0,0,2,0,-6,2,0,4,73,18.2,21,0,1,0,0,0,1,0,0.0,0,0,0,0,0,0,0,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,100.0,50,0,5,5,100.0,8,0.0,7,447,0,63.9,3,4,78,19.5,0,0,0,2,93,92,50,46.5,46.0,0,0,0,1,50.0,0,0.0,1,1,1,1.0,0,0,0,0,0,0,1,1,25,0,13,11,1,4,9,44.4,1,1,100.0,5,44,55,400,7.3,5,1,0,0,0,0,1.000,38,20,18,56,65,27
,71820,2022-10-23,20:25:00 GMT,79,SEA,Seattle,Seahawks,75,LAC,Los Angeles,Chargers,1288,SoFi Stadium,75,LAC,Los Angeles,Chargers,51,33,64.7,51.0,293,5.8,276,5.1,276.0,2,3.9,1,2.0,24,4,0,3,17,84.8,15,15.0,53,3.5,53.0,1,14,3,20.0,0,0,0,33,297,9.0,297.0,2,24,17,4,0,0,51,66,15,2,20,1,1,0,16,16.0,16,4,18,28,0,1,2,1,0,1,1,0,2,0,3,53,17.7,21,0,1,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,3,3,100.0,3,0.0,4,201,0,50.2,1,3,45,15.0,0,1,0,5,228,228,50,45.6,45.6,0,1,3,3,60.0,0,0.0,0,1,0,0.0,0,0,0,0,0,0,0,0,21,0,17,3,1,5,15,33.3,1,3,33.3,7,70,69,329,4.8,3,0,1,0,0,0,0.000,23,37,-14,71,71,29
,71822,2022-10-23,00:20:00 GMT,59,PIT,Pittsburgh,Steelers,49,MIA,Miami,Dolphins,1126,Hard Rock Stadium,49,MIA,Miami,Dolphins,35,21,60.0,35.0,261,7.5,261,7.5,261.0,1,2.9,0,0.0,32,5,0,0,0,92.7,27,27.0,111,4.1,111.0,0,12,5,18.5,0,0,0,21,261,12.4,261.0,1,32,12,5,0,0,51,81,30,2,11,3,3,0,44,14.7,33,5,18,19,0,0,0,0,0,0,0,0,0,0,2,28,14.0,28,0,1,0,0,0,1,1,1.0,1,0,0,0,4,0,0,3,3,100.0,0,0,0.0,1,1,100.0,0,0,0.0,2,2,100.0,0,0,0.0,47,0,1,1,100.0,10,0.0,5,295,0,59.0,3,2,35,17.5,0,0,0,6,256,237,53,42.7,39.5,0,0,0,4,66.7,0,0.0,3,3,19,6.3,0,0,0,0,0,0,0,0,17,0,12,5,0,4,14,28.6,0,1,0.0,5,30,62,372,6.0,1,1,0,0,0,0,1.000,16,10,6,62,75,26
,71824,2022-10-24,00:15:00 GMT,60,CHI,Chicago,Bears,50,NE,New England,Patriots,1129,Gillette Stadium,50,NE,New England,Patriots,28,17,60.7,28.0,198,7.1,190,6.6,190.0,1,3.6,3,10.7,43,3,1,1,8,54.5,19,19.0,70,3.7,70.0,1,10,3,15.8,0,0,1,17,198,11.6,198.0,1,43,9,3,1,0,41,83,42,4,32,0,1,0,11,11.0,11,4,15,33,0,0,1,1,2,0,0,-2,0,0,5,113,22.6,27,0,4,0,0,0,2,12,6.0,9,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,2,2,100.0,2,0.0,3,190,0,63.3,1,2,49,24.5,0,0,0,4,157,124,44,39.2,31.0,0,0,1,0,0.0,0,0.0,0,2,33,16.5,0,0,0,0,0,0,0,0,12,0,9,3,0,5,10,50.0,0,1,0.0,4,30,48,260,5.4,2,0,1,0,0,0,0.000,14,33,-19,52,71,25
,71810,2022-10-20,00:15:00 GMT,70,NO,New Orleans,Saints,76,ARI,Arizona,Cardinals,1269,State Farm Stadium,70,NO,New Orleans,Saints,49,32,65.3,49.0,409,8.4,409,8.4,409.0,4,8.2,3,6.1,64,4,3,0,0,93.0,22,22.0,85,3.9,85.0,0,17,7,31.8,0,0,0,32,409,12.8,409.0,4,64,17,4,3,0,38,60,22,2,15,4,0,0,0,0.0,0,2,22,32,0,0,0,0,1,0,0,0,0,0,1,23,23.0,23,0,1,0,0,0,2,28,14.0,14,0,0,0,0,0,0,2,2,100.0,0,0,0.0,1,1,100.0,0,0,0.0,1,1,100.0,0,0,0.0,45,0,4,4,100.0,10,0.0,7,338,0,48.3,3,4,48,12.0,0,2,0,2,94,94,58,47.0,47.0,0,1,1,2,100.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,25,0,17,7,1,6,13,46.2,1,1,100.0,8,49,71,494,7.0,4,0,1,0,0,0,0.000,34,42,-8,72,66,32
